"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"26","BB","WC","Inactive","PO",5,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.624,-80.181,0.525,-75.246,0.38,0.62,-0.167,-1.296,0.62,-0.468,0.488,0.77,0.171,-0.936,1.037,-0.426,0.739,0.66,-8.878,-81.729,0.529,-76.751,0.429,0.6,-0.242,-1.351,0.908,-0.709,0.627,0.8,-13.766,-14.686,-13.029,-14.658,-13.104,1,4.152,0.414,8.763,0.518,8.72,1,0.012,0.05,0.3134,0.04,0.002,0.071,-0.3926,0.04,0,0.09,70.67,113.015,0.4877,0.09,60.846,137.067,0.0073,0.01,56,151,2.23,4.75,0.0698,0,1.39,5.926,-0.0847,0,1,7,0,0,1.006,0,0,0,1.006,0,0,0,2.3453,0.219,0,0,1
"27","BB","WC","March","RI",10,10,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.425,-1.184,0.005,-0.964,-0.092,0.96,0.321,-0.11,0.846,-0.012,0.609,0.88,0.781,0.261,1.836,0.298,1.231,1,-0.517,-1.42,-0.005,-1.076,-0.104,0.97,0.379,-0.084,0.943,-0.009,0.712,0.89,0.328,0.038,0.689,0.098,0.556,1,2.307,0.364,7.463,0.429,7.437,1,0.214,0.364,0.9353,0.1,0.051,0.691,0.1103,0.03,0,0.97,38.56,60.565,-0.4319,0,32.256,66.246,0.0123,0,30,70,5.3,6,1.315,0.43,3.85,6,0.6437,0.03,3,6,0.326,0.592,0.7558,0.13,0.192,0.683,0.8377,0.2,0.1,0.7,1.6264,0.252,0,0,1
"28","BB","WC","March","PO",4,4,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.354,-1.176,0.132,-1.041,-0.002,0.9,-0.078,-0.798,0.373,-0.678,0.306,0.48,-0.772,-1.171,-0.328,-1.041,-0.432,1,-0.4,-1.158,0.143,-1.089,0.047,0.85,-0.158,-0.865,0.357,-0.699,0.306,0.63,-0.605,-1.28,-0.15,-1.1,-0.227,1,-2.587,-8.865,-0.349,-8.812,-0.389,1,0.016,0.076,0.552,0,0.003,0.113,0.0022,0,0,0.14,67.62,111.08,0.2639,0,55.764,133.992,-0.4231,0,50,151,2.25,3,2.4138,0.99,1.65,3,2.4138,0.99,1,3,0.024,0.11,0.8612,0.04,0.005,0.16,0.8412,0.04,0,0.2,1.5371,0.324,0,0,1
"29","BB","WC","March","RU",3,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-243.75,-530.991,-65.888,-527.571,-79.104,1,24.409,12.197,54.922,14.115,54.741,1,0,0,0,0,0,0.46,-3.007,-11.707,1.393,-7.072,0.636,0.78,18.335,7.071,43.386,10.596,42.147,1,-30.35,-65.352,-17.775,-64.4,-20.794,1,NA,0,0,0,0,NA,0,0,2.7211,1,0,0,2.7211,1,0,0,151,151,2.7211,1,151,151,2.7211,1,151,151,NA,NA,NA,NA,NA,NA,NA,NA,Inf,-Inf,0,0,2.7211,1,0,0,2.7211,1,0,0,NA,NA,NA,Inf,-Inf
"30","DS","WB","Active","RI",18,13,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.204,-0.13,0.478,0.012,0.406,0.92,0.546,0.228,0.892,0.349,0.743,0.99,0.471,0.185,0.808,0.257,0.636,1,0.317,-0.055,0.665,0.08,0.539,0.94,0.596,0.261,0.921,0.41,0.799,1,0.346,-0.083,0.695,0.102,0.586,0.95,0.144,-0.192,0.744,-0.164,0.385,0.78,0.137,0.27,2.9683,0.79,0.108,0.611,1.7879,0.43,0.08,0.72,20.71,42.07,0.7124,0.09,14.216,54.68,0.2873,0.05,11,64,5,5.89,2.1306,1,5,5.996,2.1207,1,5,6,0.094,0.494,0.5637,0.11,0.015,0.79,-0.6764,0.01,0,0.9,0.456,0.618,0,0,1
"31","DS","WB","Active","PO",18,11,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.155,-1.002,0.393,-0.552,0.27,0.68,0.171,-0.121,0.45,-0.013,0.355,0.89,-0.19,-0.537,0.143,-0.418,0.038,0.87,-0.081,-0.914,0.719,-0.522,0.373,0.53,0.163,-0.288,0.677,-0.146,0.433,0.74,0.685,0.428,0.958,0.5,0.867,1,0.063,-0.506,0.687,-0.256,0.348,0.64,0.001,0.038,0.4495,0.02,0,0.076,0.11,0.03,0,0.14,55.41,95.318,1.3518,0.33,34.161,131.893,0.8084,0.11,4,151,3.45,4.978,1.1139,0.21,2.124,5.613,1.1893,0.15,1,6,0.108,0.37,2.0457,0.59,0.023,0.611,0.482,0.62,0,0.8,0.4821,0.613,0,0,1
"32","DS","WB","Active","RU",8,8,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.242,-0.895,0.306,-0.579,0,0.9,0.597,0.034,1.206,0.165,0.893,0.99,0.176,-0.193,0.594,-0.078,0.465,0.77,-0.064,-0.72,0.64,-0.449,0.28,0.58,0.601,-0.007,1.295,0.137,0.965,0.96,0.459,-0.081,1.233,0.111,0.822,0.93,0.779,0.245,1.062,0.315,0.989,1,0.073,0.163,-0.0252,0,0.034,0.233,0.0629,0,0.01,0.28,38.52,54.63,1.0525,0.44,33.11,92.647,0.5497,0.02,30,118,5.045,6.362,0.3862,0,4.46,6.875,0.5355,0,4,7,0.013,0.386,-1.2177,0,0,0.534,-1.1133,0,0,0.6,1.7772,0.259,1,0,1
"33","DS","WB","Inactive","RI",14,10,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.443,-1.52,0.362,-1.189,0.153,0.75,-0.141,-0.499,0.207,-0.368,0.084,0.75,-0.416,-0.827,-0.026,-0.738,-0.132,0.99,-0.447,-1.521,0.414,-1.211,0.159,0.76,-0.152,-0.5,0.162,-0.39,0.07,0.8,0.069,-0.525,0.687,-0.301,0.417,0.58,2.329,0.26,7.388,0.31,7.353,1,0.02,0.197,0.8612,0.19,0.002,0.462,-0.0448,0.03,0,0.91,22.92,28.32,1.7462,0.6,19.785,37.382,0.9339,0.19,18,48,4.285,5.12,0.2701,0.02,3.508,5.597,0.4102,0.02,3,6,0.05,0.294,0.2312,0.03,0.006,0.431,0.1989,0.03,0,0.9,1.1691,0.351,0,0,1
"34","DS","WB","Inactive","PO",6,6,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-57.601,-60.594,-55.903,-58.835,-56.349,1,19.143,15.408,19.9,18.604,19.842,1,-19.463,-32.993,0,-32.576,0,0.77,2.716,0.885,3.605,2.289,3.174,0.99,19.155,15.687,20.299,17.74,20.246,1,-17.436,-18.597,-15.998,-18.534,-16.831,1,0.151,-0.421,4.107,-0.359,0.239,0.5,0,0,1.975,1,0,0,1.975,1,0,0,151,151,3.267,1,151,151,3.267,1,151,151,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0.9375,0,0,0,0.9375,0,0,0,0.3552,0.605,0,0,1
"35","DS","WB","Inactive","RU",9,8,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.291,-0.821,0.072,-0.596,-0.024,0.91,0.417,0.213,0.863,0.258,0.718,1,0.167,-0.271,0.673,-0.172,0.516,0.74,-0.116,-0.543,0.241,-0.371,0.16,0.72,0.396,0.166,0.943,0.211,0.685,1,0.264,-0.443,0.646,-0.059,0.518,0.83,-0.187,-0.801,0.124,-0.634,0.083,0.65,0.047,0.137,0.2158,0.09,0.013,0.187,0.4548,0,0,0.25,48.078,67.92,0.5584,0.05,33.825,73.638,0.4608,0.13,26,76,4.572,5.405,0.2618,0.01,3.56,6.425,0.0498,0,3,7,0.023,0.184,0.3334,0.12,0.002,0.367,-0.6559,0,0,0.5,0.4389,0.646,0,0,1
