"","Month","Min","Max","Mean","Day"
"1","January",12.8,904,138.548387096774,13.1
"2","February",13.4,270,90.7607142857143,72.5
"3","March",14.1,210,60.9322580645161,29.6
"4","April",7.16,54.3,10.304,7.4
"5","May",6.36,7.12,6.70645161290323,6.62
"6","June",6.19,8.66,6.39866666666667,6.31
"7","September",6.46,7.79,6.743,6.71
"8","October",6.65,22.1,7.88322580645161,7.02
"9","November",7.19,30.3,9.05933333333333,7.9
"10","December",7.88,344,30.3670967741935,8.12
