ObjectID,Stream,Date,Tag,Species,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Woody Debris,Aquatic Vegetation,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Weight,Length,Capture Method,Capture Date,Release,Notes.y
156,Wet Beaver,3/14/2022 0:00,148,Desert Sucker,Occupied,10.24,Pool,NA,65,0.1,Cobble,0,0,0,0,0,0,Yes,-111.666992,34.672613,NA,NA,-111.6670061,34.6725661,NA,77,183,Backpack Shocker,11/16/2022,NA,pool
172,Wet Beaver,3/14/2022 0:00,152,Black Bass,Occupied,8.03,Pool,NA,53,0.22,Gravel,0.1,0,0,0.05,0,0.15,Yes,-111.666423,34.672983,NA,NA,-111.6664066,34.6730099,NA,102,207,Backpack Shocker,11/15/2022,NA,NA
171,Wet Beaver,3/14/2022 0:00,153,Black Bass,Occupied,8.01,Pool,NA,55,0.18,Boulder,0.1,0,0,0,0,0.1,Yes,-111.666433,34.672993,NA,NA,-111.6664048,34.6729865,NA,112,208,Backpack Shocker,11/16/2022,NA,Pool
174,Wet Beaver,3/14/2022 0:00,154,Black Bass,Occupied,7.45,Pool,NA,60,0.37,Bedrock,0,0,0,0,0,0,Yes,-111.666447,34.673112,NAmed fly,NA,-111.6664286,34.6730245,NA,75,181,Backpack Shocker,11/14/2022,NA,Pool
164,Wet Beaver,3/14/2022 0:00,155,Black Bass,Occupied,11.91,Riffle,NA,23,0.11,Cobble,0.15,0,0.3,0,0,0.45,Yes,-111.666703,34.672838,NA,NA,-111.6666783,34.6728495,NA,143,231,Backpack Shocker,11/16/2022,NA,Pool
166,Wet Beaver,3/14/2022 0:00,157,Black Bass,Occupied,11.31,Pool,NA,>150,NA,Boulder,0,0,0,0,0,0,No,-111.666768,34.672943,NA,NA,-111.6666466,34.6728939,NA,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
84,Wet Beaver,3/14/2022 0:00,159,Black Bass,Occupied,15.5,Pool,NA,>150,0,Sand,0,0,0,0,0,0,Yes,-111.670827,34.673997,NA,NA,-111.6707449,34.6740714,NA,138,228,Backpack Shocker,11/22/2022,NA,pool
131,Wet Beaver,3/14/2022 0:00,227,NA,Occupied,8.14,Pool,NA,69,0.16,Boulder,0.5,0,0,0,0,0.5,Yes,-111.668162,34.672772,NA,NA,-111.6682547,34.6727837,NA,NA,NA,NA,NA,NA,NA
49,Wet Beaver,3/14/2022 0:00,NA,NA,Available,5.14,Riffle,NA,43,0.23,Cobble,0.3,0,0.6,0,0,0.9,Yes,-111.672252,34.674702,NA,NA,-111.6723058,34.6746854,Confirmed cobble and canopy cover with photo,NA,NA,NA,NA,NA,NA
56,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.672307,34.674422,NA,NA,-111.672232,34.6745002,NA,NA,NA,NA,NA,NA,NA
57,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.67229,34.674322,NA,NA,-111.6722008,34.6744781,NA,NA,NA,NA,NA,NA,NA
101,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.3,Riffle,NA,20,0.05,Cobble,0.1,0,0,0,0,0.1,"No,Yes",-111.669652,34.673687,NA,NA,-111.6696293,34.6737423,NA,NA,NA,NA,NA,NA,NA
66,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.26,Run,NA,45,0.41,Boulder,0.3,0,0,0,0,0.3,No,-111.671973,34.674105,NA,NA,-111.6719014,34.6741706,NA,NA,NA,NA,NA,NA,NA
67,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.89,Run,NA,47,0.25,Pebble,0.3,0,0,0,0,0.3,Yes,-111.671917,34.674088,NA,NA,-111.6718125,34.6741211,NA,NA,NA,NA,NA,NA,NA
78,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12,Riffle,NA,36,0.17,Cobble,0.25,0,0,0,0,0.25,Yes,-111.671183,34.674028,NA,NA,-111.6712446,34.6740073,NA,NA,NA,NA,NA,NA,NA
82,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.92,Pool,NA,28,0.039,Cobble,0.5,0,0,0,0,0.5,Yes,-111.670907,34.674045,NA,NA,-111.6709047,34.6740831,NA,NA,NA,NA,NA,NA,NA
46,Wet Beaver,3/14/2022 0:00,NA,NA,Available,7.12,Pool,NA,>150,NA,NA,0,0,0,0,0,0,No,-111.672348,34.674835,NA,NA,-111.672358,34.6748183,NA,NA,NA,NA,NA,NA,NA
47,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Riffle,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.672318,34.674768,NA,NA,-111.6722833,34.6747976,Replaced all Riffle_ with Riffle ,NA,NA,NA,NA,NA,NA
48,Wet Beaver,3/14/2022 0:00,NA,NA,Available,5.03,Riffle,NA,48,0.27,Boulder,0.2,0,0.5,0,0,0.7,Yes,-111.672283,34.674743,NA,NA,-111.6722945,34.6748372,Replaced all Boulder_ with Boulder,NA,NA,NA,NA,NA,NA
89,Wet Beaver,3/14/2022 0:00,NA,NA,Available,11.7,Pool,NA,>150,NA,Sand,0,0,0,0,0,0,No,-111.670435,34.674018,NA,NA,-111.6703883,34.6740184,NA,NA,NA,NA,NA,NA,NA
50,Wet Beaver,3/14/2022 0:00,NA,NA,Available,5.61,Riffle,NA,30,0.79,Cobble,0.7,0,0.2,0,0,0.9,Yes,-111.672287,34.674627,NA,NA,-111.6722817,34.6747078,NA,NA,NA,NA,NA,NA,NA
91,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.17,Riffle,NA,117,0.81,Bedrock,0,0,0,0,0,0,Yes,-111.670187,34.673942,NA,NA,-111.6702099,34.6739709,NA,NA,NA,NA,NA,NA,NA
92,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.78,Riffle,NA,20,0.43,Bedrock,0,0,0,0,0,0,No,-111.670128,34.673937,NA,NA,-111.6701206,34.6739707,NA,NA,NA,NA,NA,NA,NA
53,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.43,Pool,NA,32,0.34,Cobble,0.15,0,0,0,0,0.15,Yes,-111.672382,34.674533,NA,NA,-111.6723546,34.6745451,NA,NA,NA,NA,NA,NA,NA
94,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.3,Riffle,NA,44,1.22,Bedrock,0,0.05,0.15,0,0,0.2,No,-111.669925,34.673932,NA,NA,-111.670003,34.6738338,NA,NA,NA,NA,NA,NA,NA
55,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13.75,Pool,NA,54,0.21,Gravel,0,0,0,0,0,0,Yes,-111.672325,34.674492,NA,NA,-111.672376,34.6745137,NA,NA,NA,NA,NA,NA,NA
96,Wet Beaver,3/14/2022 0:00,NA,NA,Available,6.65,Riffle,NA,42,1.15,Boulder,0.4,0,0.3,0,0,0.7,No,-111.669917,34.67386,NA,NA,-111.6698535,34.6738226,NA,NA,NA,NA,NA,NA,NA
97,Wet Beaver,3/14/2022 0:00,NA,NA,Available,10.35,Riffle,NA,25,0.92,Pebble,0.15,0,0.05,0,0,0.2,Yes,-111.669842,34.673843,NA,NA,-111.6698617,34.6738684,NA,NA,NA,NA,NA,NA,NA
58,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,Yes,-111.67225,34.674302,NA,NA,-111.6721745,34.6743769,NA,NA,NA,NA,NA,NA,NA
59,Wet Beaver,3/14/2022 0:00,NA,NA,Available,NA,Pool,NA,>150,NA,NA,0,0,0,0,0,0,No,-111.672192,34.674273,NA,NA,-111.6721501,34.6743165,NA,NA,NA,NA,NA,NA,NA
60,Wet Beaver,3/14/2022 0:00,NA,NA,Available,17.74,Pool,NA,>150,NA,Silt,0,0,0,0,0,0,Yes,-111.672123,34.674237,NA,NA,-111.67209,34.6742297,Changed all Silt/Clay to Silt,NA,NA,NA,NA,NA,NA
141,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13.12,Pool,NA,120,0,Silt,0,0,0,0,0,0,Yes,-111.667807,34.672473,NA,NA,-111.6677464,34.6725839,NA,NA,NA,NA,NA,NA,NA
102,Wet Beaver,3/14/2022 0:00,NA,NA,Available,15.75,Riffle,NA,50,0.32,Cobble,0,0,0,0,0,0,Yes,-111.669582,34.673668,NA,NA,-111.6696088,34.6737178,NA,NA,NA,NA,NA,NA,NA
63,Wet Beaver,3/14/2022 0:00,NA,NA,Available,16.99,Pool,NA,>150,NA,Silt,0,0,0,0,0,0,Yes,-111.672133,34.674163,NA,NA,-111.672035,34.6741836,NA,NA,NA,NA,NA,NA,NA
64,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13.99,Pool,NA,19,0.07,Cobble,0.1,0,0,0,0,0.1,No,-111.672052,34.674147,NA,NA,-111.6719998,34.6741605,NA,NA,NA,NA,NA,NA,NA
65,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13.83,Pool,NA,26,0.02,Cobble,0.1,0,0,0,0,0.1,No,-111.67205,34.67414,NA,NA,-111.6719389,34.6741641,NA,NA,NA,NA,NA,NA,NA
106,Wet Beaver,3/14/2022 0:00,NA,NA,Available,12.4,Pool,NA,75,0.11,Pebble,0,0,0,0,0,0,Yes,-111.669392,34.673553,NA,NA,-111.6694172,34.6736093,NA,NA,NA,NA,NA,NA,NA
107,Wet Beaver,3/14/2022 0:00,NA,NA,Available,14.1,Pool,NA,>150,NA,Gravel,0,0,0,0,0,0,Yes,-111.669292,34.673538,NA,NA,-111.6693137,34.6735961,NA,NA,NA,NA,NA,NA,NA
108,Wet Beaver,3/14/2022 0:00,NA,NA,Available,13.65,Pool,NA,105,0,Silt,0,0,0,0,0,0,Yes,-111.669268,34.673478,NA,NA,-111.6692654,34.6735571,NA,NA,NA,NA,NA,NA,NA
69,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.2,Riffle,NA,53,0.25,Pebble,0,0,0.2,0,0,0.2,Yes,-111.671583,34.674165,NA,NA,-111.671743,34.6741442,NA,NA,NA,NA,NA,NA,NA
70,Wet Beaver,3/14/2022 0:00,NA,NA,Available,8.7,Riffle,NA,40,0.04,Boulder,0.4,0,0,0,0,0.4,Yes,-111.674072,34.671627,NA,NA,-111.6716723,34.6741302,NA,NA,NA,NA,NA,NA,NA
71,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.28,Riffle,NA,51,0.02,Cobble,0.5,0,0,0,0,0.5,No,-111.671587,34.674077,NA,NA,-111.6715688,34.6740977,NA,NA,NA,NA,NA,NA,NA
72,Wet Beaver,3/14/2022 0:00,NA,NA,Available,9.57,Riffle,NA,55,0.18,Cobble,0,0,0,0,0,0,Yes,-111.671403,34.673998,NA,NA,-111.6715547,34.6741137,NA,NA,NA,NA,NA,NA,NA
113,Wet Beaver,3/14/2022 0:00,NA,NA,Available,10,Riffle,NA,27,0.09,Boulder,0.4,0,0.1,0,0,0.5,No,-111.669132,34.673368,NA,NA,-111.6691655,34.67343,NA,NA,NA,NA,NA,NA,NA
