ObjectID,Stream,Date,Tag.Number,Species,Site.Type,Stream.Width.m,Mesohabitat,Depth.cm,Velocity.ms,Substrate,Substrate Feature,Terrestrial Vegetation,Surface Turbulence,Woody Debris,Aquatic Vegetation,Instream Cover,Canopy.Cover,Latitude,Longitude,Notes.x,x,y,Data.Changes,Weight,Length,Capture Method,Capture Date,Release,Notes.y
23,Wet Beaver,2/26/2022 0:00,NA,NA,Available,9.4,Riffle,8,0.23,Boulder,0.4,0,0,0,0,0.4,Yes,-111.67175,34.674095,NA,-111.6717929,34.6740284,NA,NA,NA,NA,NA,NA,NA
24,Wet Beaver,2/26/2022 0:00,NA,NA,Available,9.1,Riffle,49,0.05,Cobble,0.3,0,0,0,0,0.3,No,-111.671593,34.674057,NA,-111.6716446,34.6740769,NA,NA,NA,NA,NA,NA,NA
25,Wet Beaver,2/26/2022 0:00,NA,NA,Available,8.4,Riffle,33,0.21,Boulder,0.6,0,0,0,0,0.6,No,-111.671548,34.674068,NA,-111.6715873,34.674094,NA,NA,NA,NA,NA,NA,NA
28,Wet Beaver,2/26/2022 0:00,NA,NA,Available,7.1,Riffle,58,0.05,Cobble,0.1,0,0,0,0,0.1,Yes,-111.671468,34.674037,NA,-111.6713131,34.6740209,NA,NA,NA,NA,NA,NA,NA
29,Wet Beaver,2/26/2022 0:00,NA,NA,Available,7,Riffle,21,0,Pebble,0,0,0,0,0,0,Yes,-111.671357,34.674013,NA,-111.6713892,34.6741141,NA,NA,NA,NA,NA,NA,NA
30,Wet Beaver,2/26/2022 0:00,NA,NA,Available,9,Riffle,36,0.18,Cobble,0.1,0,0,0,0,0.1,No,-111.671263,34.673987,NA,-111.671352,34.6740826,NA,NA,NA,NA,NA,NA,NA
31,Wet Beaver,2/26/2022 0:00,NA,NA,Available,9.1,NA,18,0.12,Boulder,0.6,0,0,0,0,0.6,Yes,-111.671138,34.673977,NA,-111.6712226,34.6740241,NA,NA,NA,NA,NA,NA,NA
32,Wet Beaver,2/26/2022 0:00,NA,NA,Available,11.1,Riffle,28,0.25,Boulder,0.8,0,0,0,0,0.8,Yes,-111.671058,34.674007,NA,-111.6711327,34.674065,NA,NA,NA,NA,NA,NA,NA
33,Wet Beaver,2/26/2022 0:00,NA,NA,Available,14.5,Riffle,30,0.18,Cobble,0.4,0,0.3,0,0,0.7,Yes,-111.67092,34.674048,NA,-111.6710348,34.6740415,NA,NA,NA,NA,NA,NA,NA
34,Wet Beaver,2/26/2022 0:00,NA,NA,Available,12.5,Riffle,35,0.26,Boulder,0.8,0,0,0,0,0.8,No,-111.670877,34.674052,NA,-111.6710242,34.6740371,NA,NA,NA,NA,NA,NA,NA
35,Wet Beaver,2/26/2022 0:00,NA,NA,Available,14.3,Pool,20,0.11,Cobble,0.1,0,0,0,0,0.1,Yes,-111.670782,34.673987,NA,-111.6710359,34.6739753,NA,NA,NA,NA,NA,NA,NA
36,Wet Beaver,2/26/2022 0:00,NA,NA,Available,15,Pool,92,0.02,Pebble,0,0,0,0,0,0,Yes,-111.670703,34.67403,NA,-111.6709026,34.6740936,NA,NA,NA,NA,NA,NA,NA
37,Wet Beaver,2/26/2022 0:00,NA,NA,Available,15,Pool,>150,0,Cobble,0,0.3,0,0,0,0.3,Yes,-111.670643,34.674062,NA,-111.6708271,34.6740533,NA,NA,NA,NA,NA,NA,NA
39,Wet Beaver,2/26/2022 0:00,NA,NA,Occupied,15,Pool,63,0,Boulder,0,0,0,0,0,0,Yes,-111.670573,34.674023,Substrate is bedrock,-111.6706785,34.6740875,NA,NA,NA,NA,NA,NA,NA
40,Wet Beaver,2/26/2022 0:00,NA,NA,Available,15,Pool,>150,0,Boulder,0,0,0,0,0,0,Yes,-111.67046,34.673995,Substrate is bedrock,-111.67055,34.6740488,NA,NA,NA,NA,NA,NA,NA
41,Wet Beaver,2/26/2022 0:00,NA,NA,Available,15,Pool,20,0,Boulder,0,0,0,0,0,0,No,-111.670412,34.673968,Substrate is bedrock,-111.670474,34.6739459,NA,NA,NA,NA,NA,NA,NA
43,Wet Beaver,2/26/2022 0:00,NA,NA,Available,3.3,Pool,24,0,Boulder,0,0,0,0,0,0,Yes,-111.670352,34.673903,Substrate is bedrock,-111.6703336,34.6739858,NA,NA,NA,NA,NA,NA,NA
44,Wet Beaver,2/26/2022 0:00,NA,NA,Available,5.3,Pool,23,0,Boulder,0,0,0,0,0,0,No,-111.670273,34.673887,Substrate is bedrock,-111.6702053,34.6739785,NA,NA,NA,NA,NA,NA,NA
45,Wet Beaver,2/26/2022 0:00,NA,NA,Available,NA,Pool,71,0,Cobble,0,0,0,0,0,0,No,-111.670103,34.67386,Flow velocity may be off. flow meter may have broke at this point.,-111.6701506,34.673959,NA,NA,NA,NA,NA,NA,NA
