"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"11","BB","WB","Active","RU",5,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.112,-16.607,-1.209,-13.787,-1.503,1,0.814,0.433,1.541,0.553,1.155,1,-0.184,-0.998,0.226,-0.627,0.154,0.5825,-1248182138661.5,-292.273,-0.717,-12.919,-1.113,1,-104423495237.764,-0.14,31.705,0.111,0.747,0.034,0.404,-0.247,1.206,-0.035,0.679,0.8907,4.748,-0.105,9.089,0.035,8.54,0.9095,0.017,0.044,NA,NA,0.006,0.054,NA,NA,0,0.13,56.239,60.001,NA,NA,54.734,61.506,NA,NA,52,64,4.825,5.385,NA,NA,4.601,5.609,NA,NA,3,6,0.195,0.25,NA,NA,0.173,0.272,NA,NA,0,0.3,1.2342,0.477,0,0,1
"12","BB","WB","Inactive","RI",11,11,197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.087,-2.521,-0.595,-1.645,-0.658,1,0.206,-0.08,0.488,0.017,0.396,0.9185,-0.633,-0.908,-0.336,-0.825,-0.417,1,-1.096,-2.508,-0.611,-1.643,-0.673,1,0.239,-0.038,0.518,0.052,0.423,0.9511,-0.851,-1.85,-0.376,-1.347,-0.455,1,-0.349,-0.787,0.1,-0.585,-0.118,0.9406,0.039,0.125,2.9795,0.9858,0.012,0.361,1.218,0.2697,0,0.5,25.582,39.574,0.5953,0.039,20.55,42.657,0.6857,0.0123,18,44,4.214,5,1.3526,0.1495,3.533,5,1.4103,0.2684,3,5,0.002,0.164,1.7666,0.5001,0,0.339,0.9862,0.0566,0,0.45,1.3069,0.375,0,0,1
"13","BB","WB","Inactive","PO",26,16,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,0,0.616,0.15,0.489,0.9749,0.027,-0.318,0.334,-0.191,0.236,0.5776,0.089,-0.197,0.423,-0.112,0.297,0.6939,0.409,0.066,0.783,0.217,0.618,0.9879,0.255,-0.151,0.679,-0.01,0.524,0.8907,0.632,0.348,0.989,0.465,0.807,0.9996,-0.02,-0.389,0.436,-0.28,0.218,0.5726,0,0.085,-1.1941,0.0035,0,0.201,NA,NA,0,0.22,50.055,120.573,1.3477,0.2405,36.679,150.152,1.1003,0.0848,32,151,3.076,5.273,0.3206,0.0361,1.314,5.911,1.2033,0.0604,1,6,0,0.231,-2.3438,0.0052,0,0.517,NA,NA,0,0.6,0.4567,0.628,0,0,1
"14","BB","WB","Inactive","RU",17,14,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.103,-0.588,0.203,-0.357,0.098,0.6716,0.216,0.021,0.491,0.085,0.36,0.9869,0.191,-0.119,0.542,-0.022,0.418,0.8677,-0.091,-0.533,0.237,-0.318,0.096,0.6803,0.217,0.015,0.516,0.078,0.379,0.9828,-0.007,-0.626,0.321,-0.318,0.217,0.381,0.547,0.092,1.165,0.216,0.796,0.9926,0.037,0.203,0.0759,0.006,0.014,0.39,0.7128,0.0225,0,0.5,41.173,58.951,0.9839,0.1377,32.272,68.131,1.4642,0.2793,30,79,4.727,5.562,0.5154,0.0205,3.715,6.544,0.7484,0.0576,3,7,0.001,0.131,0.1772,0.0101,0,0.383,-0.2621,0.0054,0,0.6,2.2905,0.225,1,0,1
"15","BB","WC","Active","RI",37,10,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473,-2.029,0.361,-1.236,0.192,0.7761,0.728,0.082,1.383,0.296,1.158,0.9852,-0.095,-0.517,0.387,-0.39,0.22,0.69,-0.526,-2.178,0.385,-1.354,0.199,0.7791,0.737,0.091,1.386,0.316,1.157,0.9867,-0.711,-2.258,0.211,-1.585,-0.012,0.906,-0.015,-0.78,0.392,-0.577,0.311,0.7992,0.054,0.227,0.5075,0.1216,0.015,0.441,0.3159,0.071,0,1.2,34.67,48.974,0.747,0.1584,26.218,56.748,0.4118,0.1333,4,66,4.243,5.069,1.2897,0.4139,3.445,5.425,1.4077,0.4818,2,6,0.051,0.234,0.9254,0.2269,0.012,0.442,0.6541,0.1816,0,1,1.0865,0.489,0,0,1
"16","BB","WC","Active","PO",31,10,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,-0.003,0.442,0.091,0.373,0.9739,-0.027,-0.579,0.443,-0.369,0.291,0.518,-0.615,-1.468,0.01,-1.087,-0.183,0.9722,0.241,0.024,0.45,0.113,0.381,0.9829,0.007,-0.543,0.541,-0.368,0.359,0.5245,0.08,-0.578,0.581,-0.29,0.426,0.6509,0.24,-0.405,0.971,-0.126,0.557,0.6873,0.029,0.069,2.4116,0.5618,0.01,0.1,1.3513,0.4846,0,0.21,64.871,105.146,1.2154,0.2323,52.033,134.454,1.207,0.2319,10,151,1.458,4.433,1.0563,0.1681,1.063,5.773,1.2268,0.2487,1,7,0.016,0.276,-0.0991,0.0201,0.001,0.51,-0.5853,0.0063,0,0.9,0.8776,0.507,0,0,1
"17","BB","WC","Active","RU",14,9,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.081,-0.647,0.333,-0.409,0.207,0.5815,1.193,0.541,1.902,0.679,1.66,1,-0.176,-0.797,0.468,-0.57,0.233,0.7188,-0.097,-0.729,0.446,-0.454,0.218,0.6307,1.215,0.52,2.036,0.666,1.726,1,-0.31,-0.911,0.115,-0.66,-0.01,0.9074,0.862,-0.555,6.786,-0.339,6.697,0.5953,0.09,0.172,0.4141,0.0968,0.034,0.214,0.4806,0.0603,0,0.27,54.325,66.951,0.9476,0.1034,48.985,89.622,1.352,0.2691,44,110,3.509,5.438,-0.0253,0.0214,2.721,5.86,NA,NA,2,6,0.045,0.268,0.5015,0.0946,0.006,0.334,1.018,0.062,0,0.45,0.558,0.571,0,0,1
"18","BB","WC","Inactive","RI",14,10,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.495,-1.459,0.162,-1.065,0.054,0.8487,0.533,0.057,1.012,0.226,0.838,0.9869,0.569,-0.028,1.565,0.127,1.125,0.9658,-0.631,-1.672,0.097,-1.246,-0.029,0.9195,0.605,0.118,1.095,0.294,0.919,0.9926,0.42,0.005,0.78,0.172,0.657,0.9766,0.694,-0.361,7.858,-0.201,0.605,0.7652,0.13,0.344,0.574,0.0666,0.03,0.535,0.5146,0.0148,0,0.97,37.598,59.022,0.0151,0.0364,31.409,65.908,0.2662,0.0083,27,70,4.982,5.978,1.1516,0.3483,3.784,6,0.6017,0.1013,3,6,0.224,0.541,0.4927,0.1018,0.086,0.661,0.4753,0.0956,0,0.7,0.7115,0.542,0,0,1
"19","BB","WC","Inactive","PO",9,7,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.771,-1.129,0.187,-0.854,0.087,0.7723,-0.072,-0.693,0.455,-0.477,0.348,0.6199,-0.095,-0.676,0.346,-0.461,0.221,0.593,-1.847,-1.412,0.161,-0.802,0.06,0.8314,-0.151,-0.725,0.412,-0.532,0.235,0.716,-9.511,-24.106,-0.292,-22.984,-0.407,1,0.201,-0.259,0.805,-0.186,0.697,0.7178,0.002,0.063,0.4535,0.0513,0,0.111,0.0089,0.0245,0,0.14,59.835,129.196,0.9207,0.1448,55.584,145.662,0.2262,0,50,151,2.058,3.969,1.2726,0.2583,1.284,5.869,0.2147,0.1082,1,7,0,0.012,1.0588,0.2025,0,0.079,0.9893,0.2025,0,0.2,0.4856,0.581,0,0,1
"20","BB","WC","Inactive","RU",4,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-62.701,-297.164,-0.607,-274.784,-0.694,1,6.979,1.282,43.001,1.293,14.478,1,0.869,0,1.659,0,1.321,0.8581,-0.89,-4.524,0.394,-2.315,0.028,0.8842,5.731,1.136,33.571,1.171,11.568,1,-41.747,-50.301,-17.335,-50.018,-23.317,1,-5.79,-7.903,0,-7.903,0,0.876,0,0.112,1.4652,0.2522,0,0.202,0.7223,0.2522,0,0.3,108.001,151,3.0603,1,73.603,151,1.2764,0.2522,36,151,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,0,1.8465,0.7912,0,0,1.8465,0.7912,0,0,NA,NA,NA,0,0
