"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"55","BB","WC","High","RI",10,10,82,0.323,0.205,0.362,0.053,0.681,0.419,0.218,0.565,0.077,0.946,50.312,39.273,60.784,32.569,66.64,45.342,36.256,55.945,23.679,67.432,5.403,5.216,6,3.789,6,4.744,4.046,6,1.368,6,0.445,0.326,0.591,0.179,0.68,0.356,0.178,0.483,0.054,0.845,0.9,1,1,0.512,1,0.667,0.01,1,0,1
"56","BB","WC","High","PO",4,4,45,0.05,0.015,0.075,0.003,0.111,0.077,0,0.109,0,0.351,91.311,67.3,110.698,55.49,133.607,93.986,62.322,146.286,37.309,151,2.5,2.25,3,1.651,3,3.931,2.722,5.421,1.005,5.999,0.075,0.025,0.112,0.005,0.162,0.155,0,0.3,0,0.513,0.25,0,0.375,0,0.675,0.584,0.001,1,0,1
"57","BB","WC","High","RU",3,3,15,0,0,0,0,0,0.239,0.062,0.39,0.018,0.583,151,151,151,151,151,74.499,50.132,89.141,33.784,124.342,NA,NA,NA,NA,NA,4.002,2.977,5.17,1.678,5.824,0,0,0,0,0,0.283,0.185,0.377,0.085,0.479,NA,NA,NA,NA,NA,0.818,0.904,1,0.191,1
"58","BB","WC","Low","RI",41,10,681,0.16,0.048,0.209,0.013,0.416,0.226,0.051,0.307,0,0.725,41.468,34.557,48.695,26.666,56.224,32.658,24.068,41.457,12.197,52.123,4.611,4.245,5.063,3.459,5.431,4.767,4,6,3,6,0.163,0.046,0.224,0.01,0.418,0.255,0.1,0.4,0,0.7,0.61,0.279,0.969,0.055,0.997,0.728,0.02,1,0,1
"59","BB","WC","Low","PO",36,10,482,0.052,0.027,0.07,0.008,0.1,0.029,0,0.03,0,0.148,87.273,64.544,105.877,53.146,134.542,89.085,52.131,141.037,25.49,151,3.082,1.443,4.415,1.057,5.769,4.214,2.083,6.008,1,7,0.171,0.012,0.262,0.001,0.494,0.14,0,0.202,0,0.612,0.593,0.229,0.972,0.031,0.999,0.457,0,1,0,1
"60","BB","WC","Low","RU",15,9,116,0.136,0.097,0.176,0.039,0.226,0.141,0.045,0.198,0,0.366,64.18,54.091,67.055,47.051,89.873,46.328,35.169,57.666,16.066,78.622,4.496,3.642,5.448,2.829,5.861,4.44,3.004,5.453,2.191,6,0.165,0.045,0.268,0.007,0.334,0.19,0,0.298,0,0.613,0.73,0.563,0.997,0.187,1,0.76,0.693,1,0,1
"61","DS","WB","High","RI",10,9,110,0.574,0.148,0.846,0.035,1.464,0.389,0.147,0.56,0.004,1.103,31.623,24.651,37.232,21.396,44.262,31.298,24.009,40.291,13.11,49.127,5.332,4.816,5.97,4.22,6,5.302,5,6,4.029,6.361,0.466,0.317,0.581,0.258,0.75,0.31,0.102,0.485,0,0.843,0.779,0.691,1,0.212,1,0.677,0.006,1,0,1
"62","DS","WB","High","PO",9,8,114,0.034,0,0.028,0,0.132,0.039,0,0.057,0,0.181,108.675,73.199,148.682,47.855,151,85.417,42.636,150.524,21.351,151,4.737,4.178,5.793,2.359,6.529,3.957,2.629,5,1.051,6.993,0.225,0.003,0.397,0,0.665,0.041,0,0.01,0,0.21,0.688,0.423,1,0.086,1,0.692,0.023,1,0,1
"63","DS","WB","High","RU",6,5,85,0.125,0.093,0.164,0.056,0.184,0.196,0.045,0.278,0,0.566,49.831,44.339,57.338,36.722,60.121,42.818,30.29,51.174,15.539,76.004,4.199,3.546,4.751,3.185,5.354,4.785,4.004,5.026,2.961,6.98,0.241,0.14,0.336,0.067,0.421,0.103,0,0.148,0,0.458,0.598,0.398,0.85,0.155,0.97,0.493,0,1,0,1
"64","DS","WB","Low","RI",28,16,311,0.224,0.095,0.26,0.027,0.62,0.185,0.032,0.292,0,0.561,30.973,22.147,39.218,16.093,52.67,24.409,16.027,30.524,8.124,47.786,5.297,4.998,5.831,4.626,5.999,4.972,4.001,5.964,3.796,6.384,0.283,0.083,0.394,0.007,0.717,0.193,0,0.3,0,0.6,0.75,0.6,1,0.034,1,0.642,0,1,0,1
"65","DS","WB","Low","PO",21,13,320,0.022,0,0.033,0,0.074,0.025,0,0.04,0,0.094,91,62.417,123.284,38.763,148.207,71.711,36.389,98.436,20,151,3.808,2.813,4.89,1.497,5.55,4.349,3.28,5.795,1,7,0.228,0.039,0.331,0.003,0.588,0.08,0,0.1,0,0.402,0.693,0.386,1,0.034,1,0.622,0,1,0,1
"66","DS","WB","Low","RU",12,10,82,0.095,0.054,0.125,0.023,0.188,0.113,0.022,0.139,0,0.314,58.628,41.016,69.183,34.051,95.698,45.248,27.336,59.879,13.438,83.998,5.698,5.021,6.437,4.753,6.934,5.27,4.997,6.086,2.519,7,0.186,0.009,0.319,0,0.516,0.113,0,0.181,0,0.429,0.551,0.113,0.979,0.005,1,0.456,0,1,0,1
"67","DS","WC","High","RI",4,3,76,0.693,0.528,0.857,0.396,0.989,0.419,0.218,0.565,0.077,0.947,53.696,50.709,56.684,48.319,59.074,45.325,36.26,55.884,23.672,67.399,6,6,6,6,6,4.746,4.045,6,1.364,6,0.685,0.61,0.76,0.551,0.819,0.356,0.178,0.484,0.053,0.844,1,1,1,1,1,0.667,0.009,1,0,1
"68","DS","WC","High","PO",6,6,47,0.028,0,0.028,0,0.095,0.077,0,0.109,0,0.351,135.99,135.99,151,99.964,151,94.025,62.41,146.51,37.36,151,NA,NA,NA,NA,NA,3.927,2.711,5.418,1.007,5.999,0,0,0,0,0,0.155,0,0.3,0,0.513,NA,NA,NA,NA,NA,0.583,0.001,1,0,1
"69","DS","WC","Low","RI",26,13,666,0.191,0.093,0.282,0.028,0.376,0.226,0.051,0.307,0,0.725,43.409,36.74,51.682,27.861,55.779,32.65,24.064,41.444,12.192,52.117,4.885,4.396,5.653,3.367,5.971,4.767,4,6,3,6,0.311,0.153,0.43,0.07,0.614,0.255,0.1,0.4,0,0.7,0.77,0.678,1,0.139,1,0.728,0.02,1,0,1
"70","DS","WC","Low","PO",24,11,470,0.087,0.047,0.116,0.01,0.169,0.029,0,0.03,0,0.148,89.01,70.093,103.796,51.571,137.837,89.11,52.126,141.068,25.494,151,4.684,3.767,5.928,2.323,6.08,4.213,2.082,6.007,1,7,0.249,0.062,0.418,0.007,0.538,0.14,0,0.203,0,0.612,0.939,0.989,1,0.698,1,0.457,0,1,0,1
"71","DS","WC","Low","RU",12,8,113,0.1,0.056,0.13,0.019,0.199,0.141,0.045,0.198,0,0.365,81.381,56.844,96.642,53.415,134.268,46.334,35.187,57.676,16.029,78.619,4.794,4.352,5,3.446,6.125,4.44,3.005,5.46,2.199,6,0.188,0.02,0.283,0.002,0.523,0.19,0,0.298,0,0.614,0.646,0.329,0.991,0.06,1,0.76,0.691,1,0,1
"72","BB","WB","All","RI",17,13,400,0.137,0.033,0.188,0.005,0.403,0.238,0.041,0.339,0,0.713,31.582,23.799,39.574,19.317,43.274,26.169,17.65,33.148,9.145,48.762,4.742,4.582,5,3.648,5.39,5.058,4.558,5.999,4,6.404,0.121,0.001,0.179,0,0.393,0.224,0.029,0.349,0,0.668,0.446,0.005,0.93,0,0.997,0.65,0,1,0,1
"73","BB","WB","All","PO",70,23,474,0.028,0,0.04,0,0.106,0.029,0,0.041,0,0.11,86.539,56.128,118.815,36.552,150.601,75.301,37.408,107.897,20.039,151,4.435,3.584,5.581,1.339,6.39,4.251,2.987,5.197,1,7,0.149,0,0.25,0,0.537,0.07,0,0.1,0,0.387,0.678,0.248,1,0.001,1,0.641,0,1,0,1
"74","BB","WB","All","RU",22,16,171,0.127,0.022,0.184,0.005,0.383,0.157,0.033,0.197,0,0.531,51.831,43.061,59.96,32.342,68.377,43.995,29.179,55.361,14.206,81.134,5.124,4.786,5.714,3.643,6.537,5.014,4.226,5.997,2.726,7,0.133,0.005,0.2,0,0.396,0.108,0,0.164,0,0.45,0.765,0.661,1,0.048,1,0.476,0,1,0,1
"75","BB","WC","All","RI",51,13,763,0.199,0.061,0.288,0.012,0.477,0.246,0.06,0.333,0,0.799,44.964,35.616,54.82,27.878,62.782,33.929,24.757,42.578,12.743,55.356,4.823,4.358,5.51,3.305,5.932,4.765,4,6,3,6,0.24,0.072,0.35,0.015,0.601,0.265,0.1,0.4,0,0.701,0.649,0.295,0.998,0.034,1,0.722,0.002,1,0,1
"76","BB","WC","All","PO",40,11,527,0.05,0.016,0.073,0.002,0.113,0.034,0,0.033,0,0.171,92.789,64.648,119.189,52.637,144.921,89.525,52.934,143.938,25.938,151,3.105,1.568,4.303,1.065,5.768,4.195,2.113,6,1,7,0.146,0.002,0.21,0,0.481,0.141,0,0.209,0,0.601,0.496,0.066,0.926,0.003,0.995,0.466,0,1,0,1
"77","BB","WC","All","RU",18,10,131,0.111,0.043,0.165,0.007,0.222,0.152,0.048,0.207,0,0.451,77.479,55.044,90.604,46.989,133.005,49.431,35.359,60.738,17.408,83.392,4.563,3.823,5.478,2.913,5.87,4.4,3.001,5.389,2.052,6,0.126,0.008,0.229,0,0.315,0.2,0.001,0.313,0,0.588,0.792,0.71,0.999,0.328,1,0.766,0.778,1,0,1
"78","DS","WB","All","RI",38,19,421,0.391,0.108,0.444,0.029,1.365,0.237,0.041,0.339,0,0.712,30.985,22.642,38.117,17.669,50.843,26.17,17.647,33.153,9.159,48.78,5.281,4.989,5.882,4.416,5.999,5.057,4.559,6,4,6.407,0.322,0.141,0.452,0.019,0.735,0.224,0.03,0.349,0,0.668,0.723,0.457,1,0.009,1,0.651,0,1,0,1
"79","DS","WB","All","PO",30,17,434,0.023,0,0.027,0,0.099,0.029,0,0.041,0,0.111,103.438,67.78,148.692,39.077,150.998,75.288,37.404,107.881,20.062,151,3.856,2.359,5.219,1.193,6.08,4.251,2.989,5.201,1,7,0.22,0.003,0.355,0,0.696,0.069,0,0.1,0,0.387,0.654,0.228,1,0.004,1,0.641,0,1,0,1
"80","DS","WB","All","RU",18,15,167,0.105,0.057,0.148,0.012,0.207,0.157,0.033,0.197,0,0.53,55.679,40.988,66.669,30.515,90.242,43.976,29.142,55.358,14.208,81.094,5.199,4.67,6.06,3.312,6.947,5.014,4.224,5.997,2.73,7,0.204,0.009,0.371,0,0.529,0.108,0,0.164,0,0.45,0.567,0.046,1,0,1,0.476,0,1,0,1
"81","DS","WC","All","RI",30,14,742,0.231,0.097,0.292,0.029,0.573,0.246,0.06,0.332,0,0.799,43.925,37.057,51.894,28.025,57.053,33.927,24.744,42.569,12.744,55.351,4.978,4.474,5.836,3.377,5.996,4.766,4,6,3,6,0.354,0.164,0.497,0.071,0.723,0.265,0.1,0.4,0,0.701,0.797,0.758,1,0.157,1,0.722,0.002,1,0,1
"82","DS","WC","All","PO",30,14,517,0.067,0.006,0.11,0,0.17,0.034,0,0.033,0,0.171,105.002,74.415,143.997,52.767,150.839,89.509,52.932,143.876,25.923,151,4.576,3.612,5.853,2.317,6.064,4.196,2.119,6,1,7,0.179,0.004,0.324,0,0.519,0.141,0,0.209,0,0.601,0.936,0.987,1,0.696,1,0.466,0,1,0,1
"83","DS","WC","All","RU",12,8,125,0.099,0.056,0.13,0.019,0.199,0.152,0.047,0.207,0,0.451,81.34,56.817,96.737,53.403,134.212,49.408,35.355,60.724,17.361,83.385,4.794,4.347,5,3.45,6.126,4.399,3.001,5.385,2.053,6,0.188,0.02,0.283,0.002,0.523,0.2,0.001,0.313,0,0.589,0.644,0.325,0.991,0.06,1,0.765,0.768,1,0,1
