"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Mean_VelocityU","Velocity_25U","Velocity_75U","Velocity_5U","Velocity_95U","Mean_VelocityA","Velocity_25A","Velocity_75A","Velocity_5A","Velocity_95A","Mean_DepthU","Depth_25U","Depth_75U","Depth_5U","Depth_95U","Mean_DepthA","Depth_25A","Depth_75A","Depth_5A","Depth_95A","Mean_SubstrateU","Substrate_25U","Substrate_75U","Substrate_5U","Substrate_95U","Mean_SubstrateA","Substrate_25A","Substrate_75A","Substrate_5A","Substrate_95A","Mean_InstreamU","Instream_25U","Instream_75U","Instream_5U","Instream_95U","Mean_InstreamA","Instream_25A","Instream_75A","Instream_5A","Instream_95A","Mean_CanopyU","Canopy_25U","Canopy_75U","Canopy_5U","Canopy_95U","Mean_CanopyA","Canopy_25A","Canopy_75A","Canopy_5A","Canopy_95A"
"14","DS","WB","Active","PO",18,11,247,0.026,0.001,0.04,0,0.078,0.028,0,0.042,0,0.102,78.802,57.885,95.702,36.597,129.033,70.085,35.662,96.247,18.319,151,4.084,3.395,4.958,2.04,5.593,4.474,3.607,5.978,1.002,7,0.273,0.114,0.367,0.027,0.616,0.095,0,0.119,0,0.459,0.636,0.25,1,0.018,1,0.617,0,1,0,1
"15","DS","WB","Active","RU",8,8,47,0.126,0.075,0.168,0.035,0.24,0.151,0.057,0.166,0.002,0.504,53.002,38.959,54.396,33.28,93.594,40.503,25.154,54.637,11.648,74.51,5.629,5.055,6.357,4.443,6.862,5.412,5,6.5,3.015,7,0.213,0.011,0.381,0,0.537,0.127,0,0.202,0,0.461,0.748,0.592,1,0.14,1,0.462,0,1,0,1
"16","DS","WB","Inactive","RI",20,15,206,0.38,0.025,0.431,0.001,1.411,0.274,0.039,0.381,0,0.892,30.482,23.947,36.755,20.683,44.646,29.774,20.936,36.914,12.993,49.591,4.934,4.524,5.479,3.661,5.972,5.108,4.999,5.98,3.983,6.549,0.301,0.141,0.41,0.02,0.648,0.23,0.045,0.348,0,0.692,0.821,0.879,1,0.162,1,0.676,0,1,0,1
"17","DS","WB","Inactive","PO",12,11,187,0.024,0,0.011,0,0.114,0.03,0,0.039,0,0.139,120.375,96.371,151,51.923,151,82.041,40.454,150.101,21.916,151,4.15,2.671,5.565,1.473,6.448,3.942,2.411,5,1,7,0.163,0,0.205,0,0.626,0.037,0,0.001,0,0.204,0.773,0.706,1,0.132,1,0.673,0,1,0,1
"18","DS","WB","Inactive","RU",10,9,120,0.1,0.053,0.141,0.017,0.181,0.159,0.028,0.22,0,0.529,56.829,49.699,67.04,36.181,72.914,45.19,30.55,55.296,15.641,81.682,4.783,4.059,5.313,3.278,6.298,4.873,4.039,5.537,2.784,6.999,0.166,0.033,0.251,0.004,0.407,0.101,0,0.145,0,0.441,0.443,0.029,0.862,0,0.988,0.481,0,1,0,1
"19","DS","WC","Active","RI",24,13,605,0.193,0.096,0.284,0.031,0.375,0.222,0.051,0.299,0,0.734,43.806,37.204,52.041,27.589,56.448,32.37,23.998,41.587,12.013,52.096,4.923,4.524,5.642,3.452,5.968,4.756,4,6,3,6,0.321,0.158,0.436,0.085,0.633,0.268,0.1,0.4,0,0.703,0.771,0.688,1,0.138,1,0.737,0.116,1,0,1
"20","DS","WC","Active","PO",22,11,428,0.093,0.054,0.118,0.014,0.182,0.029,0,0.03,0,0.144,90.082,71.055,103.105,57.469,136.684,87.853,51.301,135.076,24.696,151,4.811,3.991,5.952,2.556,6.096,4.323,2.563,6.071,1,7,0.265,0.08,0.432,0.01,0.556,0.148,0,0.215,0,0.631,0.939,1,1,0.683,1,0.464,0,1,0,1
"21","DS","WC","Active","RU",10,7,91,0.105,0.055,0.145,0.02,0.204,0.136,0.041,0.177,0,0.362,83.814,55.874,101.698,53.339,134.535,45.21,32.192,57.621,13.571,78.66,4.903,4.675,5,3.655,6.154,4.667,3.432,5.841,2.682,6,0.212,0.044,0.303,0.012,0.522,0.221,0.022,0.35,0,0.66,0.523,0.095,0.952,0.019,0.99,0.753,0.593,1,0,1
"22","DS","WC","Inactive","RI",6,5,137,0.443,0.193,0.636,0.084,0.881,0.349,0.165,0.468,0.016,0.886,45.671,39.42,51.994,34.304,56.939,40.875,30.602,49.129,21.451,64.83,5.007,4.511,5.709,3.786,5.942,4.809,4.085,5.99,2.721,6,0.422,0.235,0.603,0.095,0.758,0.254,0.097,0.395,0,0.652,1,1,1,1,1,0.653,0,1,0,1
"23","DS","WC","Inactive","PO",8,8,89,0.021,0,0,0,0.096,0.055,0,0.068,0,0.255,121.773,114.739,151,43.652,151,97.634,61.647,150.978,35.635,151,NA,NA,NA,NA,NA,3.478,1.003,5.012,1,6.776,0,0,0,0,0,0.105,0,0.201,0,0.43,0.666,0.515,0.876,0.298,0.949,0.48,0,1,0,1
"24","DS","WC","Inactive","RU",2,2,34,0.08,0.08,0.08,0.08,0.08,0.192,0.064,0.26,0.003,0.516,60.978,60.978,60.978,60.978,60.978,60.106,41.006,73.736,34.156,99.918,3.989,3.989,3.989,3.989,3.989,3.655,3,4.985,1.057,5.954,0.152,0.152,0.152,0.152,0.152,0.148,0,0.266,0,0.445,1,1,1,1,1,0.8,0.911,1,0.003,1
"25","BB","WB","Spawn","RI",3,3,125,0.063,0.041,0.085,0.024,0.102,0.223,0.056,0.331,0,0.618,35.413,32.417,38.408,30.021,40.805,23.02,14.864,29.55,3.393,48.261,5.329,5.164,5.493,5.033,5.625,5.245,5,6,4,6.107,0.332,0.215,0.449,0.121,0.543,0.251,0.067,0.402,0,0.605,0.671,0.507,0.836,0.375,0.967,0.623,0,1,0,1
"26","BB","WB","Spawn","PO",27,18,165,0.016,0,0.025,0,0.055,0.025,0,0.039,0,0.09,88.577,61.793,113.254,48.715,147.821,72.201,34.989,101.919,12.027,151,4.557,3.891,5.676,1.507,6.485,4.763,4.004,6,1.931,6.997,0.161,0,0.271,0,0.509,0.121,0,0.197,0,0.526,0.668,0.213,1,0.001,1,0.684,0.005,1,0,1
"27","BB","WB","Spawn","RU",2,2,24,0.054,0.054,0.054,0.054,0.054,0.185,0.053,0.168,0.004,0.685,58.092,58.092,58.092,58.092,58.092,33.659,20.365,46.896,8.887,64.418,5,5,5,5,5,5.726,5.017,6.787,4.008,7,0.152,0.152,0.152,0.152,0.152,0.147,0,0.219,0,0.528,0.508,0.508,0.508,0.508,0.508,0.499,0,1,0,1
"28","BB","WB","NonSpawn","RI",14,12,275,0.174,0.044,0.252,0.012,0.498,0.244,0.038,0.342,0,0.795,30.945,23.098,39.217,19.077,42.593,27.656,19.503,34.426,11.807,48.631,4.669,4.433,5,3.584,5.226,4.969,4.001,5.749,3.915,6.581,0.106,0.001,0.145,0,0.336,0.211,0.023,0.308,0,0.703,0.436,0,0.937,0,0.999,0.664,0,1,0,1
"29","BB","WB","NonSpawn","PO",43,17,309,0.039,0,0.055,0,0.145,0.031,0,0.045,0,0.129,82.239,51.705,109.528,35.316,147.599,76.909,39.1,119.838,22.748,151,4.317,3.388,5.541,1.466,6.373,3.975,2.121,5,1,7,0.139,0.001,0.208,0,0.5,0.043,0,0.046,0,0.244,0.658,0.266,1,0.007,1,0.618,0,1,0,1
"30","BB","WB","NonSpawn","RU",20,15,147,0.133,0.027,0.193,0.006,0.387,0.152,0.031,0.203,0,0.512,51.162,42.194,59.042,32.31,68.011,45.772,31.199,56.276,15.885,82.646,5.124,4.7,5.759,3.599,6.549,4.89,4.03,5.747,2.729,7,0.125,0.005,0.177,0,0.389,0.101,0,0.149,0,0.424,0.756,0.611,1,0.059,1,0.472,0,1,0,1
"31","BB","WC","Spawn","RI",17,8,333,0.172,0.014,0.216,0.002,0.532,0.235,0.059,0.325,0,0.731,37.996,31.48,46.497,21.891,51.612,31.425,23.191,39.812,10.748,52.116,4.498,4.008,5.106,3.097,5.475,4.861,4.002,6,2.994,6,0.26,0.123,0.33,0.085,0.558,0.311,0.1,0.472,0,0.77,0.906,0.944,1,0.647,1,0.698,0,1,0,1
"32","BB","WC","Spawn","PO",17,9,287,0.05,0.022,0.068,0.007,0.101,0.03,0,0.029,0,0.151,85.914,61.512,107.31,47.835,136.571,86.308,47.782,130.753,23.387,151,3.796,2.524,4.961,1.54,6.172,4.555,2.998,6.201,1,7,0.226,0.037,0.338,0.005,0.583,0.174,0,0.283,0,0.688,0.574,0.205,0.956,0.035,0.997,0.468,0,1,0,1
