"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_Chi","Canopy_P","C_Prob_Support0.05","Canopy_Min","Canopy_Max"
"11","BB","WB","Low","PO",57,20,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.056,-0.836,0.365,-0.447,0.258,0.4896,0.234,-0.052,0.514,0.049,0.417,0.945,0.252,-0.127,0.705,-0.007,0.53,0.8936,0.067,-0.75,0.513,-0.33,0.384,0.678,0.273,-0.082,0.639,0.04,0.509,0.9318,0.27,-0.122,0.561,0.048,0.474,0.9336,0.105,-0.286,0.59,-0.162,0.402,0.6569,0,0.041,0.0536,0.0195,0,0.116,NA,NA,0,0.22,59.717,111.545,1.8676,0.6009,41.858,149.53,1.9749,0.7041,26,151,3.913,5.742,0.882,0.2092,1.787,6.523,NA,NA,1,7,0,0.221,-1.2178,0.004,0,0.467,NA,NA,0,0.6,0.5998,0.574,1,0,1
"12","BB","WB","Low","RU",9,6,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.431,-4.188,0.362,-0.711,0.207,0.5968,0.359,0.101,0.82,0.163,0.588,0.9991,-0.065,-0.634,0.639,-0.436,0.469,0.6595,-0.472,-4.112,0.461,-0.743,0.146,0.702,0.393,0.071,0.923,0.154,0.668,0.9934,0.029,-0.746,0.523,-0.31,0.321,0.5825,1.464,-0.05,8.658,0.025,8.605,0.9204,0.034,0.256,-0.1265,0.0186,0.011,0.401,-0.8826,0.0087,0,0.5,49.699,58.892,2.6882,0.8759,39.958,61.857,1.1728,0.3357,30,64,4.628,6.016,0.5641,0.0288,3.748,6.533,0.154,0.0285,3,7,0.066,0.246,1.1885,0.4018,0.019,0.285,0.7103,0.0773,0,0.3,1.1837,0.442,0,0,1
"13","BB","WC","Low","RI",51,13,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336,-1.334,0.305,-0.861,0.144,0.7889,0.773,0.282,1.254,0.452,1.087,0.9982,0.071,-0.365,0.622,-0.238,0.422,0.591,-0.486,-1.558,0.258,-1.063,0.065,0.8599,0.819,0.3,1.301,0.485,1.135,0.9983,-0.167,-1.011,0.387,-0.6,0.222,0.6621,-0.079,-0.63,0.498,-0.453,0.156,0.6833,0.061,0.288,0.8725,0.1518,0.012,0.475,0.525,0.0355,0,1.2,35.617,54.707,1.2216,0.2917,27.863,62.65,0.9045,0.2349,4,70,4.348,5.515,0.8105,0.0882,3.293,5.927,0.7514,0.044,2,6,0.072,0.351,0.6379,0.122,0.016,0.604,0.1471,0.0366,0,1,0.8939,0.509,0,0,1
"14","BB","WC","Low","PO",40,11,527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,-0.141,0.375,-0.012,0.31,0.887,0.069,-0.448,0.516,-0.246,0.373,0.6298,-0.539,-1.227,0.027,-0.94,-0.154,0.9696,0.188,-0.083,0.4,0.031,0.335,0.9315,0.098,-0.436,0.598,-0.238,0.43,0.6552,-0.344,-1.102,0.473,-0.491,0.333,0.5296,0.048,-0.503,0.633,-0.368,0.359,0.6305,0.016,0.073,0.9556,0.3178,0.002,0.113,0.2137,0.1863,0,0.21,64.705,119.124,1.2151,0.2215,52.403,144.884,1.0599,0.1342,10,151,1.571,4.283,1.5229,0.4566,1.065,5.736,NA,NA,1,7,0.003,0.209,0.2652,0.0382,0,0.477,-0.3632,0.0137,0,0.9,0.6422,0.561,0,0,1
"15","BB","WC","Low","RU",18,10,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.444,-1.334,0.096,-0.944,-0.034,0.9274,1.043,0.383,2.863,0.597,1.924,1,0.147,-0.454,0.915,-0.253,0.561,0.6569,-0.361,-1.155,0.094,-0.816,-0.018,0.9179,1.097,0.359,3.094,0.559,2.5,1,-0.504,-1.431,0.021,-0.963,-0.105,0.9664,1.586,-0.544,6.95,-0.347,6.916,0.6148,0.043,0.165,0.4668,0.0788,0.007,0.221,0.6285,0.0347,0,0.3,55.102,90.759,1.0492,0.1867,47.003,133.142,1.4512,0.3676,36,151,3.813,5.474,0.392,0.056,2.921,5.866,0.4801,0.0514,2,6,0.008,0.228,0.8139,0.0733,0,0.315,1.0642,0.0219,0,0.45,0.6749,0.546,0,0,1
"16","DS","WB","High","RI",10,7,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.33,-1.464,0.535,-1.118,0.323,0.6415,0.076,-0.417,0.529,-0.236,0.39,0.6385,-0.162,-0.645,0.324,-0.487,0.163,0.716,-0.326,-1.424,0.561,-1.108,0.331,0.6526,0.076,-0.404,0.538,-0.268,0.401,0.6692,0.293,-0.07,0.874,0.02,0.607,0.9241,6.609,6.255,6.803,6.348,6.728,1,0.032,0.253,1.1057,0.2944,0.008,0.499,-0.1497,0.0238,0,0.91,23.543,30.403,2.0105,0.7074,21.563,38.298,0.7167,0.1163,20,48,5,5.246,0.4518,0.0243,4.429,5.712,0.4518,0.0243,4,6,0.193,0.316,2.2679,0.5253,0.097,0.453,0.6899,0.0682,0.05,0.9,1.3212,0.255,0,1,1
"17","DS","WB","High","PO",4,4,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-65.024,-68.689,-61.712,-67.97,-62.748,1,18.626,14.824,19.879,15.877,19.781,1,-23.198,-33.105,0,-31.679,0,0.8703,2.76,0.296,4.86,1.168,3.557,0.9871,18.577,14.97,20.356,16.212,20.235,1,-19.541,-20.693,-17.752,-20.607,-18.771,1,-0.405,-0.839,0.011,-0.774,-0.032,0.9515,0,0,1.7921,0.9489,0,0,1.7921,0.9489,0,0,151,151,2.8931,1,151,151,2.8931,1,151,151,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0.9138,0,0,0,0.9138,0,0,0,0.9593,0.527,0,0,1
"18","DS","WB","High","RU",8,7,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275,-0.751,0.111,-0.574,0.006,0.8925,0.388,0.124,0.971,0.185,0.696,0.9999,0.207,-0.351,0.895,-0.236,0.659,0.7487,-0.123,-0.549,0.266,-0.407,0.154,0.6939,0.364,0.075,0.962,0.16,0.678,0.9954,0.315,-0.258,0.707,0.029,0.549,0.9227,-0.109,-0.71,0.335,-0.623,0.276,0.7047,0.065,0.14,1.8581,0.5688,0.024,0.183,0.5391,0.0325,0,0.25,47.235,64.974,1.7865,0.3544,34.431,71.913,0.2104,0.0227,26,76,4.52,5.474,0.3312,0.007,3.566,6.422,-0.1639,0.0048,3,7,0.041,0.193,0.8589,0.3199,0.01,0.371,-0.1312,0.0737,0,0.5,0.3653,0.626,0,0,1
"19","DS","WB","Low","RI",28,16,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441,-0.026,0.714,0.22,0.636,0.9711,0.476,0.168,0.772,0.279,0.671,0.9982,0.31,-0.035,0.622,0.085,0.522,0.9593,0.432,-0.038,0.708,0.211,0.627,0.9701,0.482,0.138,0.804,0.267,0.694,0.9967,0.294,-0.12,0.654,0.035,0.54,0.9219,0.094,-0.242,0.538,-0.107,0.319,0.6687,0.131,0.437,1.3067,0.3228,0.067,1.406,0.9067,0.2984,0,1.76,22.6,41.111,0.6351,0.0279,17.299,53.723,0.977,0.2344,11,64,4.987,5.899,1.8309,0.7295,4.463,5.999,1.7236,0.7314,3,6,0.104,0.499,0.4766,0.0758,0.014,0.726,0.0904,0.0588,0,0.9,0.3939,0.631,0,0,1
"20","DS","WB","Low","PO",26,14,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.114,-1.165,0.474,-0.738,0.355,0.5368,0.312,-0.057,0.662,0.076,0.545,0.9523,-0.062,-0.431,0.391,-0.323,0.213,0.6422,0.057,-1.047,0.725,-0.569,0.544,0.6156,0.383,-0.126,0.956,0.042,0.744,0.9265,0.768,0.435,1.086,0.56,0.975,1,0.136,-0.275,0.798,-0.189,0.442,0.6225,0,0.039,0.0049,0.0533,0,0.123,-0.6111,0.0102,0,0.3,58.588,127.032,0.7792,0.1367,35.371,149.352,0.7516,0.162,4,151,3.02,5.28,0.4772,0.053,1.503,6.1,0.6594,0.0248,1,7,0.042,0.441,0.1488,0.166,0.002,0.718,-3.652,0.0599,0,0.8,0.5344,0.593,0,0,1
"21","DS","WB","Low","RU",10,10,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.541,-1.246,-0.149,-0.912,-0.246,0.9978,0.464,-0.005,1.065,0.128,0.792,0.9729,-0.057,-0.431,0.372,-0.296,0.211,0.6369,-0.56,-1.149,-0.112,-0.893,-0.265,0.9865,0.57,0.027,1.164,0.174,0.916,0.9825,0.279,-0.21,0.82,0.006,0.559,0.9049,0.559,0.095,1.055,0.17,0.953,0.9975,0.062,0.159,0.5061,0.0623,0.024,0.232,0.56,0.0503,0.01,0.28,40.176,62.048,0.6142,0.0558,33.979,93.226,0.6082,0.016,30,118,4.771,6.051,0.2703,0.0194,3.725,6.785,0.2032,0.0104,3,7,0.008,0.378,-1.0415,0,0,0.527,-0.7846,0,0,0.6,1.5081,0.328,0,0,1
"22","DS","WC","Low","RI",30,14,742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.111,-0.68,0.304,-0.463,0.215,0.6166,0.702,0.327,1.065,0.463,0.94,1,0.208,-0.156,0.705,-0.055,0.49,0.8457,-0.221,-0.838,0.241,-0.607,0.139,0.7335,0.725,0.359,1.076,0.489,0.956,1,0.307,-0.146,0.715,0.011,0.586,0.9081,0.488,-0.253,7.172,-0.068,0.572,0.6995,0.097,0.292,0.3734,0.0389,0.029,0.575,0.6238,0.0617,0,1.18,37.026,51.843,1.0261,0.2363,28.029,57.065,1.3306,0.3186,17,63,4.475,5.838,0.5345,0.0197,3.37,5.997,0.8377,0.0148,3,6,0.164,0.497,0.3607,0.0654,0.07,0.721,0.6533,0.0808,0,1,0.7366,0.526,0,0,1
"23","DS","WC","Low","PO",30,14,517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281,0.012,0.487,0.126,0.425,0.9784,0.358,-0.031,0.776,0.098,0.626,0.9635,0.2,-0.374,0.789,-0.167,0.578,0.753,0.434,0.155,0.735,0.258,0.605,0.9979,0.587,0.076,1.197,0.235,0.956,0.9894,0.102,-0.414,0.503,-0.163,0.399,0.76,5.19,0.61,8.804,0.902,8.785,1,0.006,0.11,-0.6699,0.0812,0,0.17,-0.5734,0.0058,0,0.33,74.666,143.781,1.0058,0.1378,53.165,150.86,1.0705,0.2826,8,151,3.629,5.857,1.8073,0.5515,2.33,6.063,1.7142,0.443,1,7,0.004,0.328,-0.6856,0.0313,0,0.52,0.1802,0.0028,0,0.8,6.3728,0.025,1,0,1
"24","DS","WC","Low","RU",12,8,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.564,-1.385,-0.064,-1.01,-0.188,0.9917,1.085,0.521,2.941,0.637,2.041,1,0.326,-0.157,0.909,-0.036,0.639,0.8693,-0.452,-1.265,0.049,-0.987,-0.077,0.9588,1.17,0.479,3.273,0.564,2.73,1,-0.132,-1.159,0.433,-0.682,0.32,0.6188,-0.152,-0.787,0.261,-0.554,0.199,0.7995,0.056,0.13,0.9507,0.2773,0.019,0.199,0.6424,0.0771,0,0.24,56.877,96.893,0.5999,0.0708,53.437,134.354,1.5355,0.2218,52,151,4.352,5,1.3952,0.3656,3.45,6.131,0.4676,0.1985,3,7,0.019,0.284,-0.0679,0.033,0.002,0.525,-0.6438,0.0178,0,0.7,1.0139,0.462,0,0,1
