"","Month","Min","Max","Mean","Day"
"1","March",0.583,6.966,1.856,1.606
"2","April",0.433,2.019,0.589,0.447
"3","May",0.411,0.493,0.45,0.411
"4","June",0.374,0.501,0.41,0.382
"5","July",0.379,0.75,0.451,0.419
"6","September",0.365,0.646,0.488,0.484
"7","October",0.428,0.623,0.468,0.462
"8","November",0.462,0.682,0.504,0.49
