"","Month","Min","Max","Mean","Day"
"1","March",20.6,246,65.541935483871,56.7
"2","April",15.3,71.3,20.8166666666667,15.8
"3","May",14.5,17.4,15.8838709677419,14.5
"4","June",13.2,17.7,14.4633333333333,13.5
"5","July",13.4,26.5,15.9096774193548,14.8
"6","September",12.9,22.8,17.2166666666667,17.1
"7","October",15.1,22,16.5193548387097,16.3
"8","November",16.3,24.1,17.7966666666667,17.3
