"","Species","Stream","Group","Mesohabitat","Observed","Unique","Available","Velocity Coef","Velocity_95L","Velocity_95H","Velocity_80L","Velocity_80H","V_Percent_Support","Depth Coef","Depth_95L","Depth_95H","Depth_80L","Depth_80H","D_Percent_Support","Sub Coef","Sub_95L","Sub_95H","Sub_80L","Sub_80H","S_Percent_Support","VelFull Coef","VelFull_95L","VelFull_95H","VelFull_80L","VelFull_80H","VF_Percent_Support","DepthFull Coef","DepthFull_95L","DepthFull_95H","DepthFull_80L","DepthFull_80H","DF_Percent_Support","Instream Coef","Instream_95L","Instream_95H","Instream_80L","Instream_80H","I_Percent_Support","Canopy Coef","Canopy_95L","Canopy_95H","Canopy_80L","Canopy_80H","C_Percent_Support","Velocity_25","Velocity_75","Velocity_t_stat_50","Velocity_p_50","Velocity_5","Velocity_95","Velocity_t_stat_90","Velocity_p_90","Velocity_Min","Velocity_Max","Depth_25","Depth_75","Depth_t_stat_50","Depth_p_50","Depth_5","Depth_95","Depth_t_stat_90","Depth_p_90","Depth_Min","Depth_Max","Substrate_25","Substrate_75","Substrate_t_stat_50","Substrate_p_50","Substrate_5","Substrate_95","Substrate_t_stat_90","Substrate_p_90","Substrate_Min","Substrate_Max","Instream_25","Instream_75","Instream_t_stat_50","Instream_p_50","Instream_5","Instream_95","Instream_t_stat_90","Instream_p_90","Instream_Min","Instream_Max","Canopy_25","Canopy_75","Canopy_t_stat_50","Canopy_p_50","Canopy_5","Canopy_95","Canopy_t_stat_90","Canopy_p_90","Canopy_Min","Canopy_Max","Ratio_Pool","RPool_95L","RPool_95H","RPool_80L","RPool_80H","RPool_Percent_Support","Ratio_Riffle","RRiffle_95L","RRiffle_95H","RRiffle_80L","RRiffle_80H","RRiffle_Percent_Support","Ratio_Run","RRun_95L","RRun_95H","RRun_80L","RRun_80H","RRun_Percent_Support","Mesohabitat_Riffle","MesoRiffle_95L","MesoRiffle_95H","MesoRiffle_80L","MesoRiffle_80H","MesoRiffle_Percent_Support","Mesohabitat_Run","MesoRun_95L","MesoRun_95H","MesoRun_80L","MesoRun_80H","MesoRun_Percent_Support"
"30","DS","WC","Low","RU",12,8,113,-0.478,-1.247,0.025,-0.916,-0.109,0.967,2.784,1.333,3.852,1.918,3.531,1,0.291,-0.219,0.866,-0.069,0.6,0.8434,-0.319,-1.176,0.44,-0.803,0.145,0.8376,2.798,1.3,3.981,1.922,3.592,1,-0.08,-1.051,0.45,-0.607,0.342,0.5537,-0.148,-0.764,0.268,-0.534,0.206,0.7935,0.056,0.129,0.9351,0.2775,0.019,0.199,0.5793,0.0756,0,0.24,56.856,96.546,0.7405,0.072,53.43,134.21,1.731,0.4986,52,151,4.339,5,1.3654,0.3111,3.442,6.124,0.4195,0.1912,3,7,0.02,0.284,-0.0968,0.0084,0.002,0.524,-0.5613,0.0084,0,0.7,0.328,0.991,NA,NA,0.06,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","DS","C","High","RI",28,17,284,0.323,-0.251,0.73,0,0.611,0.8996,0.19,-0.102,0.448,0.006,0.366,0.9059,0.232,-0.022,0.542,0.055,0.423,0.9593,0.297,-0.319,0.73,-0.053,0.605,0.875,0.116,-0.222,0.416,-0.095,0.318,0.7697,0.398,0.108,0.666,0.217,0.576,0.996,0.971,0.208,7.188,0.241,0.694,1,0.079,0.6,-0.3465,0.0035,0.006,1.337,-2.1064,2e-04,0,1.76,26.402,44.214,0.8384,0.0974,21.534,56.035,1.2738,0.1401,20,60,5,5.921,0.9488,0.0739,4.317,6,1.2334,0.072,4,6,0.252,0.566,1.753,0.5491,0.099,0.807,1.0589,0.195,0.05,0.9,1,1,1.1875,0.094,0.307,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","DS","C","High","PO",19,15,252,-0.696,-1.774,0.235,-1.017,0.176,0.6768,0.81,0.417,1.313,0.511,1.158,1,0.122,-0.479,0.889,-0.275,0.576,0.6326,-0.17,-0.559,0.551,-0.133,0.408,0.1453,0.908,0.556,1.477,0.637,1.213,1,0.211,-0.94,0.72,0.04,0.638,0.9283,0.447,-0.222,7.457,-0.099,0.579,0.8045,0,0.022,0.7996,0.3095,0,0.151,-0.255,0.0188,0,0.3,88.921,151,2.0525,0.4641,50.383,151,1.7394,0.6953,35,151,3.442,5.41,0.3204,0.0476,1.9,6.409,-0.2702,0.0096,1,7,0,0.084,-0.1739,0.0038,0,0.62,-2.9533,0.0055,0,0.9,0.62,1,NA,NA,0.12,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","DS","C","High","RU",12,8,147,-0.356,-0.721,-0.044,-0.601,-0.127,0.9899,0.188,-0.008,0.407,0.052,0.325,0.9675,-0.024,-0.478,0.498,-0.337,0.322,0.5377,-0.326,-0.645,-0.038,-0.544,-0.118,0.989,0.174,-0.019,0.402,0.043,0.309,0.9597,0.26,-0.09,0.558,0.056,0.439,0.9364,-0.016,-0.428,0.388,-0.368,0.338,0.5653,0.072,0.147,1.0942,0.2519,0.024,0.185,1.0608,0.1539,0,0.25,47.995,64.119,0.6792,0.055,34.411,71.894,0.6184,0.1383,26,76,3.828,5.412,-0.3478,0,3.166,6.431,0.1821,0.0163,3,7,0.056,0.279,0.3146,0.1253,0.009,0.428,-0.2376,0.0168,0,0.5,0.054,0.946,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","DS","C","Low","RI",48,26,936,-0.042,-0.337,0.18,-0.21,0.118,0.5945,0.529,0.233,0.828,0.334,0.727,0.9999,0.261,-0.022,0.573,0.071,0.457,0.9633,-0.046,-0.374,0.194,-0.231,0.128,0.597,0.528,0.232,0.828,0.332,0.727,0.9999,0.192,-0.148,0.483,-0.021,0.392,0.8781,0.069,-0.233,0.403,-0.137,0.249,0.586,0.109,0.268,1.8986,0.5877,0.034,0.509,1.8653,0.6359,0,0.72,25.613,49.778,-0.3798,0.0159,17.488,56.029,1.1106,0.2538,11,64,4.899,5.853,1.5472,0.4602,3.476,6,1.2595,0.1199,3,6,0.094,0.434,0.1012,0.0131,0.005,0.729,-0.0915,0.0359,0,1,0.419,1,NA,NA,0.001,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","DS","C","Low","PO",44,23,756,0.287,0.095,0.45,0.173,0.395,0.997,0.099,-0.145,0.328,-0.061,0.253,0.7894,0.066,-0.227,0.377,-0.127,0.26,0.6647,0.34,0.124,0.533,0.208,0.469,0.9973,0.242,-0.076,0.567,0.028,0.458,0.9302,0.451,0.233,0.64,0.318,0.576,0.9998,0.692,0.307,1.329,0.408,0.976,1,0.002,0.096,-1.2578,0.0349,0,0.144,-0.2883,1e-04,0,0.33,64.718,106.737,2.7608,0.9239,39.772,149.189,1.3857,0.4244,4,151,3.394,5.75,1.8849,0.6154,1.75,6.037,2.252,0.9445,1,7,0.042,0.403,0.3618,0.39,0,0.601,NA,NA,0,0.8,0.822,1,NA,NA,0.027,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","DS","C","Low","RU",21,17,170,-0.323,-0.814,0,-0.602,-0.092,0.975,1.472,0.674,2.364,0.901,2.059,1,0.338,0.016,0.706,0.117,0.571,0.9798,-0.067,-0.534,0.409,-0.351,0.199,0.6279,1.47,0.625,2.426,0.86,2.113,1,0.083,-0.377,0.409,-0.171,0.315,0.7026,-0.002,-0.361,0.453,-0.236,0.231,0.5254,0.053,0.149,1.0101,0.1735,0.011,0.239,0.7961,0.0281,0,0.28,44.268,76.399,0.5059,0.0266,35.586,128.296,1.1837,0.1625,30,151,4.887,5.696,0.9819,0.2495,3.564,6.881,1.2902,0.2124,3,7,0,0.334,-0.5691,0.0042,0,0.586,NA,NA,0,0.7,0.217,1,NA,NA,0.002,1,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","BB","WB","High","Meso",49,27,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.308,0.975,1.677,1.077,1.548,0.962,0.474,0.14,0.801,0.274,0.685,0.999,1.307,0.777,1.892,0.959,1.682,0.85,-1.099,-2.292,-0.327,-1.661,-0.545,0.999,-0.018,-0.724,0.617,-0.456,0.401,0.508
"38","BB","WB","Low","Meso",64,21,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.617,1.244,1.975,1.376,1.852,0.999,0.377,0,0.763,0.15,0.61,1,0.813,0,2.276,0,1.651,0.747,-1.994,-16.955,-0.516,-2.497,-0.827,1,-4.125,-15.027,0.474,-14.937,0.108,0.838
"39","BB","WC","High","Meso",33,33,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,0.745,1.392,0.839,1.266,0.631,0.733,0.509,0.946,0.587,0.871,0.993,1.736,1.073,2.439,1.29,2.147,0.984,-0.368,-0.916,0.174,-0.719,-0.013,0.909,0.484,-0.164,1.082,0.087,0.872,0.938
