Velocity,Substrate,Depth,Velocity_full,Depth_full,Velocity_25,Velocity_75,Velocity_25_Suit_Used,Velocity_25_UnSuit_Avail,Velocity_25_UnSuit_Used,Velocity_25_Suit_Avail,t_stat_50_Velocity,p_50_Velocity,Substrate_25,Substrate_75,Substrate_25_Suit_Used,Substrate_25_UnSuit_Avail,Substrate_25_UnSuit_Used,Substrate_25_Suit_Avail,t_stat_50_Substrate,p_50_Substrate,Depth_25,Depth_75,Depth_25_Suit_Used,Depth_25_UnSuit_Avail,Depth_25_UnSuit_Used,Depth_25_Suit_Avail,t_stat_50_Depth,p_50_Depth
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
0.12751747364728916,-0.2808612350859742,0.09337559593686143,0.1175121237574857,0.08189527471804842,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,7,47,2,58,1.3108753788222671,0,22,32,5,69,4,36,1.276083873803272,0
-0.0372484621602588,-0.13174888360408307,0.04797501655831091,-0.0417237180056127,0.05123265799057507,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,6,47,3,58,0.6631095578517064,0,21,29,5,78,4,27,1.9120696778521626,1
0.26796897121571256,-0.2808612350859742,0.15501282580721112,0.24907300236043103,0.12706300118607905,0.08,0.37,5,58,4,47,0.6239347533126767,0,5,5,7,47,2,58,1.3108753788222671,0,24,32,5,74,4,31,1.612401066681984,0
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
0.26796897121571256,-0.2808612350859742,0.15501282580721112,0.24907300236043103,0.12706300118607905,0.08,0.37,5,58,4,47,0.6239347533126767,0,5,5,7,47,2,58,1.3108753788222671,0,24,32,5,74,4,31,1.612401066681984,0
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
-0.4592909521206728,-0.13174888360408307,0.21456693771868604,-0.45469578682828204,0.2208500110367967,0,0.25,7,36,2,69,0.7367883976130072,0,5,5,6,47,3,58,0.6631095578517064,0,21,41,5,50,4,55,0.18305654912175867,0
-0.0372484621602588,-0.13174888360408307,0.04797501655831091,-0.0417237180056127,0.05123265799057507,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,6,47,3,58,0.6631095578517064,0,21,29,5,78,4,27,1.9120696778521626,1
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
-0.0372484621602588,-0.13174888360408307,0.04797501655831091,-0.0417237180056127,0.05123265799057507,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,6,47,3,58,0.6631095578517064,0,21,29,5,78,4,27,1.9120696778521626,1
-0.0372484621602588,-0.13174888360408307,0.04797501655831091,-0.0417237180056127,0.05123265799057507,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,6,47,3,58,0.6631095578517064,0,21,29,5,78,4,27,1.9120696778521626,1
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
0.26796897121571256,-0.2808612350859742,0.15501282580721112,0.24907300236043103,0.12706300118607905,0.08,0.37,5,58,4,47,0.6239347533126767,0,5,5,7,47,2,58,1.3108753788222671,0,24,32,5,74,4,31,1.612401066681984,0
0.12751747364728916,-0.2808612350859742,0.09337559593686143,0.1175121237574857,0.08189527471804842,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,7,47,2,58,1.3108753788222671,0,22,32,5,69,4,36,1.276083873803272,0
0.26796897121571256,-0.2808612350859742,0.15501282580721112,0.24907300236043103,0.12706300118607905,0.08,0.37,5,58,4,47,0.6239347533126767,0,5,5,7,47,2,58,1.3108753788222671,0,24,32,5,74,4,31,1.612401066681984,0
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
-0.4592909521206728,-0.13174888360408307,0.21456693771868604,-0.45469578682828204,0.2208500110367967,0,0.25,7,36,2,69,0.7367883976130072,0,5,5,6,47,3,58,0.6631095578517064,0,21,41,5,50,4,55,0.18305654912175867,0
0.26796897121571256,-0.2808612350859742,0.15501282580721112,0.24907300236043103,0.12706300118607905,0.08,0.37,5,58,4,47,0.6239347533126767,0,5,5,7,47,2,58,1.3108753788222671,0,24,32,5,74,4,31,1.612401066681984,0
-0.0372484621602588,-0.13174888360408307,0.04797501655831091,-0.0417237180056127,0.05123265799057507,0.08,0.3,5,62,4,43,0.8515752316621092,0,5,5,6,47,3,58,0.6631095578517064,0,21,29,5,78,4,27,1.9120696778521626,1
-0.010278484191460543,-0.2808612350859742,0.31230097816991603,-0.03275380321307949,0.3136841024428265,0,0.3,7,25,2,80,0.10749450695888323,0,5,5,7,47,2,58,1.3108753788222671,0,24,41,5,59,4,46,0.6801491151985275,0
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
-0.23976049400060104,-0.13174888360408307,-0.01765776691523368,-0.23961470767944687,-0.0032413774096952475,0.08,0.28,5,68,4,37,1.2126817916254804,0,5,5,6,47,3,58,0.6631095578517064,0,21,27,5,85,4,20,2.5403327596389853,1
