ObjectID,Creation Date,Site Type ,Tag,Fish Species,Other - Fish Species,Size,Coded Size,Number of Individuals,Mesohabitat,Other - Mesohabitat,Stream Width (m),Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,Canopy Cover,Depth (cm),Velocity (m/s),Longitude (N),Latitude (W),Notes,,x,y,,Data Changes
7,6/15/2022 19:28,Available,NA,NA,,,,NA,Pool,,7.8,Gravel,0.3,0,0,0,0,0,0.3,No,29,0.08,0,0,,-111.6888763,34.53846237,,,
8,6/15/2022 19:30,Available,NA,NA,,,,NA,Pool,,7.8,Cobble,0.2,0,0,0,0,0,0.2,Yes,8,0,34.538398,111.688869,,-111.6888749,34.53847697,,,
14,6/15/2022 20:07,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0,0,0,0,0,0,0,NA,>150,NA,34.538479,111.688713,16. 1 to 3,-111.6887078,34.53844803,Changed to boulder - most likely ,,
15,6/15/2022 20:11,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0,0,0,0,0,0,0,NA,>150,NA,0,0,,-111.6887289,34.53842436,,,
16,6/15/2022 20:12,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0,0,0,0,0,0,0,No,>150,NA,0,0,,-111.6887101,34.53846208,,,
17,6/15/2022 20:13,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0.2,0,0,0.1,0,0,0.3,No,>150,0,0,0,,-111.6886987,34.53844768,,,
18,6/15/2022 20:14,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0.2,0,0,0.05,0,0,0.25,No,90,0,0,0,,-111.6887214,34.53845517,,,
19,6/15/2022 20:16,Available,NA,NA,,,,NA,Pool,,7.7,Gravel,0.25,0,0,0.1,0,0,0.35,No,66,0,0,0,,-111.6887246,34.53841725,,,
20,6/15/2022 20:17,Available,NA,NA,,,,NA,Pool,,7.7,Boulder,0.3,0,0,0.15,0,0,0.45,Yes,26,0,34.538439,111.688696,,-111.6887214,34.53840831,,,
23,6/15/2022 21:37,Available,NA,NA,,,,NA,Riffle,,3.34,Pebble,0.3,0,0,0,0,0,0.3,Yes,48,0.16,34.538471,111.688599,,-111.6887339,34.53823177,,,
24,6/15/2022 21:42,Available,NA,NA,,,,NA,Pool,,5.1,Gravel,0.3,0,0,0,0,0,0.3,Yes,34,0.01,34.53848,111.688498,,-111.6886233,34.53847157,,,
25,6/15/2022 21:49,Available,NA,NA,,,,NA,Pool,,5.1,Pebble,0.25,0,0,0,0,0,0.25,Yes,42,0.01,0,0,,-111.6885118,34.53846193,,,
26,6/15/2022 21:50,Available,NA,NA,,,,NA,Pool,,5.1,Pebble,0.4,0.15,0,0,0,0,0.55,No,42,0.01,0,0,,-111.6885121,34.53845728,,,
27,6/15/2022 21:51,Available,NA,NA,,,,NA,Pool,,5.1,Boulder,0.45,0,0,0,0,0,0.45,Yes,40,0.4,43.538572,111.686455,,-111.688542,34.53848861,,,
30,6/15/2022 22:04,Available,NA,NA,,,,NA,Riffle,,3.5,Gravel,0.4,0.2,0,0,0,0,0.6,Yes,46,0.44,34.538426,111.688393,,-111.6885534,34.53845083,,,
31,6/15/2022 22:10,Available,NA,NA,,,,NA,Riffle,,4.8,Boulder,0.4,0.1,0,0,0,0,0.5,Yes,38,0.9,34.538375,111.688316,,-111.6884114,34.53845968,,,
32,6/15/2022 22:14,Available,NA,NA,,,,NA,Riffle,,4.8,Pebble,0.4,0.1,0,0,0,0,0.5,Yes,36,0.08,0,0,,-111.6882909,34.53834238,,,
33,6/15/2022 22:16,Available,NA,NA,,,,NA,Riffle,,4.7,Boulder,0.3,0,0,0,0,0,0.3,Yes,42,0.21,34.538513,111.688279,,-111.6883258,34.53837809,,,
36,6/15/2022 22:23,Available,NA,NA,,,,NA,Riffle,,4.15,Boulder,0.5,0,0,0,0,0,0.5,Yes,18,0.17,34.538391,111.688215,,-111.6882923,34.5384028,,,
37,6/15/2022 22:30,Available,NA,NA,,,,NA,Pool,,4.7,Gravel,0.2,0,0,0,0,0,0.2,Yes,40,0.08,0,0,,-111.6882268,34.53831485,,,
38,6/15/2022 22:31,Available,NA,NA,,,,NA,Pool,,4.7,Gravel,0.25,0,0,0,0,0,0.25,Yes,44,0.17,34.53835,111.688099,,-111.6882265,34.5383169,,,
41,6/15/2022 22:51,Available,NA,NA,,,,NA,Riffle,,3.9,Boulder,0.4,0.1,0,0,0,0,0.5,Yes,30,0.13,34.538353,111.688099,,-111.6880588,34.53828716,,,
42,6/15/2022 22:52,Available,NA,NA,,,,NA,Riffle,,3.9,Cobble,0.2,0.05,0,0,0.3,0,0.55,Yes,26,0.79,34.538356,111.688096,,-111.6881085,34.53834369,,,
43,6/15/2022 22:56,Available,NA,NA,,,,NA,Riffle,,3.6,Cobble,0.4,0,0,0,0,0,0.4,Yes,22,0.33,34.538274,111.68802,,-111.6881383,34.53830912,,,
44,6/15/2022 23:01,Available,NA,NA,,,,NA,Pool,,7.5,Boulder,0.15,0,0,0,0,0,0.15,Yes,2,0,34.53812,111.688189,,-111.6880494,34.53822938,,,
45,6/15/2022 23:09,Available,NA,NA,,,,NA,Pool,,7.5,Pebble,0.1,0,0,0,0,0,0.1,Yes,18,0,0,0,,-111.6881981,34.5381543,,,
46,6/15/2022 23:11,Available,NA,NA,,,,NA,Pool,,7.5,Gravel,0.1,0,0,0,0,0,0.1,No,24,0,0,0,,-111.6882052,34.53816054,,,
47,6/15/2022 23:11,Available,NA,NA,,,,NA,Pool,,7.5,Cobble,0.1,0,0,0,0,0,0.1,No,20,0,0,0,,-111.6881969,34.53814828,,,
48,6/15/2022 23:12,Available,NA,NA,,,,NA,Pool,,7.5,Cobble,0.1,0,0,0,0,0,0.1,Yes,16,0,0,0,,-111.6882148,34.53814851,,,
49,6/15/2022 23:12,Available,NA,NA,,,,NA,Pool,,7.5,Pebble,0.15,0,0,0.05,0,0,0.2,Yes,16,0,0,0,,-111.6882063,34.53814522,,,
50,6/15/2022 23:13,Available,NA,NA,,,,NA,Pool,,7.5,Cobble,0.3,0,0,0.15,0,0,0.45,Yes,22,0,34.53818,111.688193,,-111.6881547,34.53813373,,,
52,6/15/2022 23:17,Available,NA,NA,,,,NA,Pool,,10.2,Boulder,0.5,0,0,0,0,0,0.5,No,24,0,34.538168,111.688132,,-111.6881574,34.53816818,,,
57,6/16/2022 16:51,Available,NA,NA,,,,NA,Pool,,12.7,Silt,0,0,0,0,0,0,0,Yes,36,0,34.538276,111.688053,,-111.6877546,34.53810079,,,
