Stream,Creation Date,Site Type ,Tag,Stream Width (m),Mesohabitat,Other - Mesohabitat,Depth cm,Velocity ms,Substrate,Substrate Feature,Surface Turbulence ,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation ,Undercut Bank,Instream Cover,NA,Canopy Cover,Longitude (N),Latitude (W),Notes,x,y,,Data Changes 
Clear,4/26/2022 21:39,Available,NA,10.72,Riffle,,1,0.25,Pebble,0,0,0,0,0,0,0,No,Yes,34.536104,111.680015,,-111.6801472,34.5360781,,
Clear,4/26/2022 21:56,Available,NA,11.5,Riffle,,0.5,0.17,Pebble,0.15,0,0,0,0,0,0.15,No,Yes,34.535997,111.679591,,-111.6796471,34.5360014,,
Clear,4/26/2022 22:05,Available,NA,11.8,Riffle,,1.1,0.24,Pebble,0,0,0,0,0,0,0,No,Yes,34.325981,111.679414,,-111.679512,34.5359984,,
Clear,4/26/2022 22:33,Available,NA,13.18,Run,,1.25,0.15,Pebble,0.1,0,0,0,0,0,0.1,No,Yes,34.535891,111.678823,,-111.6789248,34.5359176,,
Clear,4/26/2022 22:36,Available,NA,9.97,Run,,1,0.23,Pebble,0,0,0,0,0,0,0,No,Yes,34.53588,111.678706,,-111.6788183,34.5358614,,
Clear,4/25/2022 17:57,Available,NA,6.9,Pool,,0.7,0.02,Sand,0.1,0,0,0,0,0,0.1,No,Yes,34.538166,111.688524,,-111.6885836,34.5382253,,
Clear,4/25/2022 18:01,Available,NA,7,Pool,,2.1,0.4,Silt,0.1,0,0,0,0,0,0.1,No,Yes,34.538144,111.688442,Silt substrate,-111.6884666,34.5381383,,Changed to silt to match notes
Clear,4/25/2022 18:09,Available,NA,8.97,Pool,,1.94,0.01,Sand,0.2,0,0,0,0,0,0.2,No,No,34.538176,111.688209,,-111.6883102,34.5381503,,
Clear,4/25/2022 18:13,Available,NA,12.67,Pool,,1.95,0,Silt,0.1,0,0,0,0,0,0.1,No,No,34.538218,111.688105,Silt substrate,-111.6881661,34.5381741,,Changed to silt to match notes
Clear,4/25/2022 18:33,Available,NA,20.23,Pool,,2.75,0,Sand,0.1,0,0,0,0,0,0.1,No,Yes,34.538168,111.688073,,-111.68814,34.5382715,,
Clear,4/25/2022 18:41,Available,NA,17.33,Pool,,3.6,0,Sand,0,0,0,0.6,0,0,0.6,No,Yes,34.538151,111.687885,,-111.6879399,34.5381346,,
Clear,4/25/2022 19:54,Available,NA,14.45,Pool,,3.05,0.01,Sand,0,0,0,0,0,0,0,No,Yes,34.538004,111.687019,,-111.686988,34.5380715,,
Clear,4/25/2022 20:13,Available,NA,15.67,Riffle,,1,0.03,Sand,0.5,0,0,0,0,0,0.5,No,No,34.538026,111.686434,,-111.6865634,34.5380596,,
Clear,4/25/2022 20:22,Available,NA,8.98,Run,,1.3,0,Sand,0.05,0,0,0,0,0,0.05,No,Yes,34.538085,111.68623,,-111.6863271,34.5380746,,
Clear,4/25/2022 20:26,Occupied,218,15.67,Riffle,,1.15,0.04,Sand,0,0,0,0.2,0,0,0.2,No,Yes,34.538163,111.686164,,-111.6861655,34.5381176,,
Clear,4/25/2022 20:28,Available,NA,15.69,Riffle,,0.9,0.08,Sand,0,0,0,0,0,0,0,No,Yes,34.538161,111.686142,,-111.6861061,34.5380656,,
Clear,4/25/2022 20:37,Available,NA,11.97,Riffle,,1.1,0.29,Sand,0.05,0,0,0,0,0,0.05,No,Yes,34.538171,111.685867,,-111.6859553,34.5381694,,
Clear,4/25/2022 20:43,Available,NA,13.21,Run,,1,0.16,Sand,0,0,0,0,0,0,0,No,Yes,34.538194,111.685633,,-111.6857379,34.538265,,
Clear,4/25/2022 20:46,Occupied,157,11.23,Run,,1.7,0.27,Sand,0,0,0,0,0,0,0,No,,34.538292,111.685612,,-111.685576,34.5382056,,
Clear,4/25/2022 20:50,Occupied,166,13.15,Run,,1.55,0.22,Sand,0,0,0,0.05,0,0,0.05,No,Yes,34.538286,111.685517,,-111.6856187,34.5382529,,
Clear,4/25/2022 20:58,Available,NA,18.6,Riffle,,1,0.17,Sand,0.4,0,0,0,0,0,0.4,No,Yes,34.53833,111.685282,,-111.6853255,34.5383077,,
Clear,4/25/2022 21:33,Available,NA,14.61,Riffle,,0.8,0.11,Sand,0.45,0,0,0,0,0,0.45,No,No,34.538479,111.684619,,-111.6846996,34.5384756,,
Clear,4/25/2022 21:41,Available,NA,8.83,Riffle,,0.8,0.28,Sand,0.2,0,0,0,0,0,0.2,No,No,34.538548,111.684462,,-111.684497,34.5384845,,
Clear,4/25/2022 21:46,Available,NA,19.45,Pool,,1.6,0.04,Sand,0.05,0,0,0,0,0,0.05,No,No,34.538638,111.684178,,-111.6843713,34.538494,,
Clear,4/25/2022 21:54,Available,NA,15.24,Pool,,2.7,0.01,Sand,0.1,0,0,0,0,0,0.1,No,No,34.538555,111.684046,,-111.6841601,34.5385424,,
Clear,4/25/2022 21:57,Available,NA,16.21,Pool,,2.6,0.02,Sand,0,0,0,0,0,0,0,No,No,34.538558,111.684009,,-111.6842119,34.5384979,,
Clear,4/25/2022 21:58,Available,NA,15.09,Pool,,1.3,0.03,Sand,0.05,0,0,0,0,0,0.05,No,No,34.538426,111.684061,,-111.6841574,34.5385607,,
Clear,4/26/2022 18:47,Available,NA,12.1,Pool,,1.95,0.03,Sand,0.15,0,0,0,0,0,0.15,No,Yes,34.538077,111.682493,,-111.6826516,34.5380839,,
Clear,4/26/2022 18:48,Available,NA,12.3,Pool,,1.45,0.05,Sand,0.25,0,0,0.15,0,0,0.4,No,Yes,34.538077,111.682399,,-111.682588,34.5380315,,
Clear,4/26/2022 18:54,Occupied,181,11.53,Pool,,2.2,0.06,Sand,0.3,0,0,0,0,0,0.3,No,Yes,34.53792,111.682363,,-111.6823827,34.537919,,
Clear,4/26/2022 21:10,Available,NA,18.5,Pool,,3.1,0.02,Sand,0,0,0,0.5,0,0,0.5,No,Yes,34.536582,111.680627,,-111.6806632,34.5365937,,
Clear,4/26/2022 21:12,Available,NA,28.5,Pool,,2.45,0,Sand,0.05,0,0,0,0,0,0.05,No,No,34.536477,111.680641,,-111.6805584,34.5365768,,
Clear,4/26/2022 21:15,Available,NA,20.34,Pool,,3.65,0.01,Sand,0,0.008,0,0,0,0,0.008,No,No,34.536468,111.680606,,-111.6806691,34.5364833,,
Clear,4/26/2022 21:17,Available,NA,20.1,Pool,,>150,Na,Sand,0,0,0,0,0,0,0,No,No,34.536426,111.680513,,-111.680646,34.5364686,,
Clear,4/26/2022 22:49,Available,NA,12.32,Pool,,3.6,0.06,Sand,0,0,0,0,0,0,0,No,No,34.535794,111.678368,,-111.678453,34.5357984,,
Clear,4/26/2022 22:53,Available,NA,11.79,Pool,,2,0,Sand,0,0,0,0.15,0,0,0.15,No,No,34.535688,111.678275,,-111.6782916,34.5357516,,
Clear,4/26/2022 22:55,Available,NA,16.78,Pool,,1.3,0,Sand,0,0,0,0,0,0,0,No,Yes,34.535603,111.678158,,-111.6782897,34.5358197,,
Clear,4/26/2022 22:56,Available,NA,14.85,Pool,,1.45,0,Sand,0,0,0,0,0,0,0,No,Yes,34.535578,111.678109,,-111.6782449,34.5357038,,
Clear,4/26/2022 22:58,Available,NA,15.12,Pool,,3.3,0.02,Sand,0.1,0,0,0,0,0,0.1,No,Yes,34.54562,111.678011,,-111.6781643,34.5356489,,
