,Tag,ObjectID,Stream,Month,Creation Date,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
26,NA,150,Clear,November,11/19/2022 20:04,Available,9.2,Run,Na,Na,NA,0,0,0,0,0,0,0,NA,34.538049,111.686079,Dead in debris pile,Changed 218 to NA and available due to fish being deceased. (Don't include 219 in November HSC analysis). Deleted NA from Available,NA,NA,NA,NA,NA,NA,NA
27,NA,151,Clear,November,11/19/2022 20:06,Available,9.2,Run,43,0.19,Cobble,0,0,0,0,0,0,0,Yes,34.538034,111.686104,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,152,Clear,November,11/19/2022 20:07,Available,7.5,Run,53,0.46,Cobble,0.1,0,0,0,0,0,0.1,No,34.538051,111.686015,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,153,Clear,November,11/19/2022 20:08,Available,11.1,Riffle,27,0.18,Cobble,0,0,0,0,0,0,0,Yes,34.538091,111.685958,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,154,Clear,November,11/19/2022 20:10,Available,10.6,Run,50,0.28,Gravel,0,0,0,0,0,0,0,Yes,34.538116,111.685117,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,155,Clear,November,11/19/2022 20:12,Available,5.3,Riffle,28,0.29,Gravel,0.2,0,0,0,0,0,0.2,No,34.53812,111.685789,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,156,Clear,November,11/19/2022 20:13,Available,9.3,Riffle,25,0,Gravel,0.1,0,0,0,0,0,0.1,Yes,34.538103,111.685628,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,114,Clear,November,11/19/2022 18:24,Available,7.5,Pool,29,0.15,Gravel,0,0,0,0,0,0,0,No,34.538429,111.688894,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,115,Clear,November,11/19/2022 18:27,Available,11,Pool,84,0.01,Gravel,0.1,0,0.2,0,0,0,0.3,No,34.538413,111.688734,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,116,Clear,November,11/19/2022 18:31,Available,7,Pool,>150,Na,Cobble,0,0,0,0,0,0,0,No,34.538447,111.688706,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,117,Clear,November,11/19/2022 18:33,Available,4.6,Riffle,32,0.52,Cobble,0,0,0,0,0,0,0,Yes,34.538477,111.68863,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,118,Clear,November,11/19/2022 18:35,Available,5.3,Riffle,35,0.2,Cobble,0,0,0,0,0,0,0,Yes,34.538468,111.688547,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,119,Clear,November,11/19/2022 18:37,Available,4.2,Riffle,34,0.29,Boulder,0.4,0,0,0,0,0,0.4,Yes,34.538442,111.688478,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,120,Clear,November,11/19/2022 18:40,Available,4.3,Riffle,50,0.4,Cobble,0,0,0,0,0,0,0,Yes,34.538407,111.688358,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,121,Clear,November,11/19/2022 18:41,Available,3.9,Riffle,21,0.33,Cobble,0.1,0,0,0,0,0,0.1,Yes,34.538379,111.688306,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,122,Clear,November,11/19/2022 18:43,Available,5.1,Riffle,39,0.28,Cobble,0,0,0,0,0,0,0,Yes,34.538357,111.688185,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,123,Clear,November,11/19/2022 18:45,Available,5.5,Riffle,26,0.45,Cobble,0,0.05,0,0,0,0,0.05,Yes,34.538348,111.688128,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,124,Clear,November,11/19/2022 18:46,Available,5.6,Riffle,30,0.18,Cobble,0,0.15,0,0,0,0,0.15,Yes,34.538293,111.688076,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,125,Clear,November,11/19/2022 18:48,Available,9.5,Pool,46,0.01,Pebble,0,0,0,0,0,0,0,No,34.538189,111.688093,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,126,Clear,November,11/19/2022 18:50,Available,18,Pool,99,0,Silt,0,0,0,0,0,0,0,No,34.53817,111.688013,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,127,Clear,November,11/19/2022 18:52,Available,17.1,Pool,49,0,Cobble,0,0,0,0.2,0,0,0.2,Yes,34.53813,111.687934,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,128,Clear,November,11/19/2022 18:54,Available,18.2,Pool,>150,Na,Silt,0,0,0,0,0,0,0,NA,34.5382,111.687891,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,129,Clear,November,11/19/2022 18:56,Available,18.8,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538181,111.687741,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,130,Clear,November,11/19/2022 18:58,Available,15.3,Pool,26,0,Bedrock,0,0,0,0,0,0,0,No,34.53822,111.687673,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,131,Clear,November,11/19/2022 18:59,Available,15.2,Pool,81,0.01,Bedrock,0,0,0,0,0,0,0,No,34.538209,111.687556,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,132,Clear,November,11/19/2022 19:01,Available,16.9,Pool,62,0.06,Bedrock,0,0,0,0,0,0,0,Yes,34.538197,111.687459,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,133,Clear,November,11/19/2022 19:02,Available,12.6,Pool,>150,Na,Silt,0,0,0,0,0,0,0,Yes,34.538114,111.687379,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,134,Clear,November,11/19/2022 19:04,Available,11.7,Pool,110,0.01,Bedrock,0,0,0,0,0,0,0,No,34.538119,111.6873,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,135,Clear,November,11/19/2022 19:05,Available,13.1,Pool,95,0.03,Bedrock,0,0,0,0,0,0,0,No,34.538067,111.687178,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,136,Clear,November,11/19/2022 19:06,Available,12.2,Pool,>150,Na,NA,0,0,0,0,0,0,0,Yes,34.538034,111.687135,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,139,Clear,November,11/19/2022 19:45,Available,14.2,Pool,>150,Na,Silt,0,0,0,0,0,0,0,No,34.538006,111.686999,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,187,Clear,November,11/19/2022 21:05,Available,4.1,Riffle,12,0.85,Bedrock,0,0,0,0,0,0,0,Yes,34.538716,111.683522,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,188,Clear,November,11/19/2022 21:08,Available,2.7,Riffle,41,0.6,Bedrock,0,0,0,0,0,0,0,No,34.538667,111.683419,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,189,Clear,November,11/19/2022 21:09,Available,6.5,Riffle,20,0.28,Boulder,0.25,0,0,0,0,0,0.25,No,34.538641,111.683349,NA,NA,NA,NA,NA,NA,NA,NA,NA
