,Tag,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
80,NA,244,5/31/2022 0:00,Clear,May,Available,12.382,Pool,122,0.06,Bedrock,0.1,0,0,0,0,0,0.1,No,34.535821,111.678504,NA,Changed date to correct date,NA,NA,NA,NA,NA,NA,NA
124,NA,224,5/31/2022 23:18,Clear,May,Available,14.027,Pool,126,0.02,Cobble,0,0,0,0,0,0,0,No,34.536455,111.680582,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,145,245,5/31/2022 0:00,Clear,May,Occupied,12.025,Pool,>150,0,Gravel,0,0,0,0,0,0,0,Yes,34.535812,111.678371,NA,Changed date to correct date,Black Bass,78,198,Backpack Shocker,11/28/2022,Camp Crossing,NA
44,NA,141,5/30/2022 21:08,Clear,May,Available,15.707,Pool,>150,NA,Boulder,0,0,0,0.7,0,0,0.7,Yes,34.538261,111.687863,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,143,5/30/2022 21:19,Clear,May,Available,15.5,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.538136,111.687638,NA,Pool width estimate based on other measurements ,NA,NA,NA,NA,NA,NA,NA
47,NA,144,5/30/2022 21:22,Clear,May,Available,19.192,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.538164,111.687546,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,148,5/30/2022 21:32,Clear,May,Available,11.826,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,Yes,34.538071,111.687253,NA,Confirmed bedrock with photo,NA,NA,NA,NA,NA,NA,NA
53,NA,150,5/30/2022 21:46,Clear,May,Available,10.688,Pool,>150,NA,NA,0,0,0,0,0,0,0,Yes,34.538131,111.687056,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,192,5/31/2022 20:13,Clear,May,Available,11.86,Pool,>150,NA,NA,0,0,0,0,0,0,0,No,34.538524,111.684075,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,226,5/31/2022 23:26,Clear,May,Available,23.503,Pool,>150,0,NA,0,0,0,0,0,0,0,Yes,34.536374,111.68027,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,NA,227,5/31/2022 23:30,Clear,May,Available,10.39,Pool,>150,0,Boulder,0.3,0,0,0,0,0,0.3,Yes,34.536284,111.680189,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,204,5/31/2022 21:21,Clear,May,Available,6.4,Riffle,3,0.09,Pebble,0.3,0,0,0,0,0,0.3,No,34.538368,111.682811,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,238,5/31/2022 0:00,Clear,May,Available,7.985,Riffle,11,0.56,Boulder,0.5,0,0,0,0,0,0.5,Yes,34.536,111.679128,NA,Changed date to correct date,NA,NA,NA,NA,NA,NA,NA
34,NA,131,5/30/2022 20:02,Clear,May,Available,3.376,Riffle,14,0.44,Pebble,0,0,0,0,0,0,0,Yes,34.53815,111.688639,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,135,5/30/2022 20:34,Clear,May,Available,4.5,Riffle,14,0,Gravel,0.05,0,0,0,0,0,0.05,Yes,34.538137,111.688325,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,136,5/30/2022 20:36,Clear,May,Available,5.592,Riffle,14,0.16,Pebble,0.4,0,0,0.2,0,0,0.6,Yes,34.538111,111.688243,NA,Confirmed canoy with photo,NA,NA,NA,NA,NA,NA,NA
40,NA,137,5/30/2022 20:41,Clear,May,Available,7.579,Riffle,16,0.07,Cobble,0.15,0,0,0.5,0,0,0.65,Yes,34.538138,111.68816,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,159,5/30/2022 23:04,Clear,May,Available,9.49,Riffle,18,0.26,Cobble,0.4,0,0,0,0,0,0.4,Yes,34.538053,111.68645,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,171,176,5/31/2022 17:47,Clear,May,Occupied,10.7,Riffle,20,0.09,Cobble,0.1,0,0,0,0,0,0.1,No,34.538548,111.689341,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
35,NA,132,5/30/2022 20:15,Clear,May,Available,5.822,Riffle,20,0.1,Pebble,0,0,0,0,0,0,0,No,34.538181,111.688567,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,170,5/30/2022 23:39,Clear,May,Available,10.502,Riffle,20,0.25,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.5382,111.685651,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,133,5/30/2022 20:17,Clear,May,Available,5.44,Riffle,22,0.04,Cobble,0.3,0,0,0,0,0,0.3,No,34.538116,111.688496,NA,Confirmed cobble with photo ,NA,NA,NA,NA,NA,NA,NA
60,NA,157,5/30/2022 22:55,Clear,May,Available,14.115,Riffle,22,0.12,Cobble,0.5,0,0,0,0,0,0.5,Yes,34.538022,111.686575,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,183,5/31/2022 18:24,Clear,May,Available,10.258,Riffle,23,0.14,Boulder,0.3,0,0,0,0,0,0.3,No,34.538427,111.684759,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,127,5/30/2022 19:40,Clear,May,Available,4.917,Riffle,24,0.59,Cobble,0.4,0,0,0,0,0,0.4,Yes,34.538374,111.688223,NA,Confirmed canopy with photo,NA,NA,NA,NA,NA,NA,NA
64,NA,161,5/30/2022 23:10,Clear,May,Available,9.589,Riffle,24,0.23,Cobble,0.1,0,0,0,0,0,0.1,No,34.538112,111.686306,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,178,5/31/2022 18:03,Clear,May,Available,9.7,Riffle,24,0.08,Pebble,0.4,0,0,0,0,0,0.4,Yes,34.538287,111.685121,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,122,5/30/2022 19:09,Clear,May,Available,3.4765,Riffle,25,0.84,Cobble,0.3,0.3,0,0,0,0,0.6,Yes,34.538449,111.688646,NA,NA,NA,NA,NA,NA,NA,NA,NA
