,Tag,Species,ObjectID,Creation Date,Stream,Month,Site Type,Stream Width,Mesohabitat,Depth,Velocity,Substrate,Substrate Feature,Surface Turbulence,Aquatic Vegetation,Large Woody Debris,Terrestrial Vegetation,Undercut Bank,Instream Cover,Canopy Cover,Longitude,Latitude,Notes,Data Change,Weight,Length,Capture Method,Capture Date,Release,Notes.y
45,NA,NA,17,5/17/2022 20:51,Beaver,May,Available,NA,Pool,50,0.02,Cobble,0,0,0,0,0,0,0,Yes,34.674064,111.671974,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,98,5/18/2022 23:28,Beaver,May,Available,Na,Pool,54,0.08,Boulder,0.1,0,0,0,0,0,0.1,Yes,34.672514,111.667134,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,79,5/18/2022 21:27,Beaver,May,Available,NA,Pool,55,0.1,Boulder,0.2,0,0,0,0,0,0.2,Yes,34.67285,111.668194,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,59,5/17/2022 23:55,Beaver,May,Available,NA,Pool,56,0.03,Gravel,0,0,0,0,0,0,0,Yes,34.673559,111.669265,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,100,5/18/2022 23:41,Beaver,May,Available,Na,Pool,56,0.06,Boulder,0,0,0,0,0,0,0,Yes,34.67257611,11.666972,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,58,5/17/2022 23:51,Beaver,May,Available,NA,Pool,58,0.01,Sand,0,0,0,0,0,0,0,Yes,34.67356,111.669434,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,114,5/18/2022 0:00,Beaver,May,Available,NA,Pool,64,0.02,Sand,0,0,0,0,0,0,0,Yes,34.673055,111.666281,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
101,NA,NA,117,5/18/2022 0:00,Beaver,May,Available,Na,Pool,68,0.07,Cobble,0.2,0,0,0,0,0,0.2,No,34.673137,111.6163,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
65,NA,NA,37,5/17/2022 22:22,Beaver,May,Available,NA,Pool,70,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.674028,111.670783,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,87,5/18/2022 22:08,Beaver,May,Available,Na,Pool,74,0.02,Silt,0,0,0,0.2,0,0,0.2,No,34.672564,111.667729,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,78,5/18/2022 21:17,Beaver,May,Available,NA,Pool,74,0.01,Cobble,0,0,0,0,0,0,0,Yes,34.672874,111.668285,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,16,5/17/2022 20:48,Beaver,May,Available,NA,Pool,76,0,Cobble,0,0,0,0,0,0,0,Yes,34.6741,111.672027,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,66,5/18/2022 19:15,Beaver,May,Available,Na,Pool,76,0.04,Cobble,0,0,0,0,0,0,0,No,34.673332,111.669054,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,116,5/18/2022 0:00,Beaver,May,Available,NA,Pool,80,0.02,Sand,0,0,0,0,0,0,0,No,34.673091,111.666207,NA,Confirmed Date,NA,NA,NA,NA,NA,NA
29,NA,NA,1,5/17/2022 18:43,Beaver,May,Available,7.39,Pool,80,0.03,Cobble,0,0,0,0.05,0,0,0.05,No,34.674853,111.672343,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,10,5/17/2022 19:30,Beaver,May,Available,16.75,Pool,88,0,Cobble,0,0,0,0,0,0,0,Yes,34.674327,111.672434,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,60,5/18/2022 17:57,Beaver,May,Available,NA,Pool,90,0.03,Cobble,0,0,0,0.1,0,0,0.1,Yes,34.677719,111.695159,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,76,5/18/2022 21:07,Beaver,May,Available,Na,Pool,90,0.01,Cobble,0,0,0,0.4,0,0,0.4,Yes,34.6729831,"111,668,397",NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,39,5/17/2022 22:31,Beaver,May,Available,NA,Pool,92,0.02,Cobble,0,0,0,0,0,0.3,0.3,Yes,34.674051,111.670683,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,11,5/17/2022 19:38,Beaver,May,Available,17.75,Pool,112,0.02,Sand,0,0,0,0,0,0,0,Yes,34.67434,111.672385,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,86,5/18/2022 22:05,Beaver,May,Available,Na,Pool,120,0,Silt,0.1,0,0,0,0,0,0.1,Yes,34.672573,111.667815,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,12,5/17/2022 19:44,Beaver,May,Available,17.47,Pool,150,0.01,Sand,0,0,0,0,0,0,0,Yes,34.674256,111.672325,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,13,5/17/2022 19:50,Beaver,May,Available,NA,Pool,>150,0,Silt,0,0,0,0,0,0,0,Yes,34.674159,111.672373,Lat long recorded from stream bank,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,89,5/18/2022 22:17,Beaver,May,Available,Na,Pool,>150,0,NA,0,0,0,0,0,0,0,Yes,34.672547,111.667696,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,40,5/17/2022 22:37,Beaver,May,Available,NA,Pool,>150,NA,Boulder,0,0,0,0,0,0,0,Yes,34.674142,111.670576,Lat long taken from bank,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,41,5/17/2022 22:41,Beaver,May,Available,NA,Pool,>150,NA,NA,0,0,0,0.5,0,0,0.5,No,34.674082,111.670484,Lat long taken from bank,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,42,5/17/2022 22:47,Beaver,May,Available,NA,Pool,>150,NA,Boulder,0,0,0,0,0,0,0,No,34.674002,111.670389,Lat long from bank,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,43,5/17/2022 22:50,Beaver,May,Available,NA,Pool,>150,NA,Bedrock,0,0,0,0,0,0,0,No,34.673996,111.670304,Lat long from bank,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,77,5/18/2022 21:12,Beaver,May,Available,Na,Pool,>150,0,Boulder,0.3,0,0,0.1,0,0,0.4,Yes,34.672941,111.668374,Lat long at bank,NA,NA,NA,NA,NA,NA,NA
27,159,Black Bass,31,5/17/2022 21:58,Beaver,May,Occupied,NA,Riffle,36,0.13,Cobble,0,0.7,0,0,0,0,0.7,Yes,34.674007,111.67107,NA,NA,138,228,Backpack Shocker,11/22/2022,NA,pool
8,114,Desert Sucker,51,5/17/2022 23:19,Beaver,May,Occupied,NA,Riffle,15,0.14,Cobble,0,0,0,0,0,0,0,Yes,34.673817,111.669741,Tag 124 washer 114,Labeled correctly,91,196,Backpack Shocker,11/3/2022,NA,NA
9,118,Desert Sucker,6,5/17/2022 19:14,Beaver,May,Occupied,4.74,Riffle,22,0.69,Cobble,0,0,0,0,0,0,0,Yes,34.674628,111.672315,NA,NA,143,324,Backpack Shocker,11/3/2022,NA,NA
5,110,Desert Sucker,23,5/17/2022 21:15,Beaver,May,Occupied,NA,Riffle,29,0.19,Cobble,0.1,0,0,0,0,0,0.1,No,34.674066,111.671672,NA,NA,121,256,Backpack Shocker,11/3/2022,NA,NA
13,124,Desert Sucker,53,5/17/2022 23:27,Beaver,May,Occupied,NA,Riffle,36,0.13,Cobble,0,0,0,0,0,0,0,Yes,34.673777,111.669714,Tag on tree says 114 washer says 124,Labeled correctly,121,221,Backpack Shocker,11/12/2022,NA,Male
11,121,Desert Sucker,65,5/18/2022 19:06,Beaver,May,Occupied,Na,Riffle,56,0.13,Boulder,0.3,0,0,0,0,0,0.3,No,34.673333,111.669122,NA,"Confirmed Occupied, confirmed May 18th from photo date",86,192,Backpack Shocker,11/12/2022,NA,NA
105,NA,NA,82,5/18/2022 21:46,Beaver,May,Available,Na,Riffle,15,0.05,Gravel,0.4,0,0,0,0,0,0.4,Yes,34.672733,111.668092,NA,Changed depth from .15 to 15,NA,NA,NA,NA,NA,NA
114,NA,NA,95,5/18/2022 23:15,Beaver,May,Available,NA,Riffle,8,0.08,Cobble,0,0,0,0,0,0,0,Yes,34.672444,11.667279,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,96,5/18/2022 23:19,Beaver,May,Available,Na,Riffle,8,0.66,Pebble,0,0,0,0.1,0,0,0.1,Yes,34.672447,111.667196,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,49,5/17/2022 23:15,Beaver,May,Available,NA,Riffle,8,1.02,Boulder,0,0,0,0,0,0,0,Yes,34.673871,111.669858,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,54,5/17/2022 23:31,Beaver,May,Available,NA,Riffle,10,0.07,Pebble,0,0,0,0,0,0,0,Yes,34.673714,111.669655,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,106,5/18/2022 0:00,Beaver,May,Available,NA,Riffle,10,0.4,Boulder,0,0,0,0,0,0,0,Yes,346727764,111.6667909,NA,Confirmed 5/18 5:02 PM,NA,NA,NA,NA,NA,NA
