Velocity,Substrate,Depth,Velocity_full,Depth_full,Velocity_25,Velocity_75,Velocity_25_Suit_Used,Velocity_25_UnSuit_Avail,Velocity_25_UnSuit_Used,Velocity_25_Suit_Avail,t_stat_50_Velocity,p_50_Velocity,Substrate_25,Substrate_75,Substrate_25_Suit_Used,Substrate_25_UnSuit_Avail,Substrate_25_UnSuit_Used,Substrate_25_Suit_Avail,t_stat_50_Substrate,p_50_Substrate,Depth_25,Depth_75,Depth_25_Suit_Used,Depth_25_UnSuit_Avail,Depth_25_UnSuit_Used,Depth_25_Suit_Avail,t_stat_50_Depth,p_50_Depth
0.3562654874268722,0.7442882349635058,-0.18736433910488945,0.34523306893439926,-0.03629256835412887,0,0.08499999999999999,9,11,3,117,-1.8114220932736798,0,4,6.25,8,55,4,62,0.9056022734857706,0,48.5,74,6,91,6,37,1.5145838627001682,0
0.23727492280907192,0.5257826413338514,-0.21169677603820886,0.1942468603563482,-0.13539627943304564,0,0.05,9,21,3,107,-0.7552795497535082,0,4,5.25,8,62,4,55,1.297412688114188,0,42,77.75,6,79,6,49,0.7947858151594112,0
0.22078408372279637,0.6310716167553664,0.06820903942773626,0.2964986130094531,0.19779005526264037,0,0.055,9,21,3,107,-0.7552795497535082,0,4,6.25,7,55,5,62,0.3533233944038707,0,65.25,93.25,6,110,6,18,3.1584417535146714,1
0.40898698048597554,0.8673405089847976,-0.15096885259923618,0.42281707746741465,0.045396448862409365,0.0075,0.08499999999999999,6,66,6,62,0.10355210869743926,0,4,7,11,41,1,76,1.8804348765188408,1,53,74,6,97,6,31,1.936618701978069,1
0.15017881844376058,0.47561359273429143,-0.1530714316143815,0.11157933686943776,-0.11117288453041584,0.0075,0.04,7,86,5,42,1.7722938923964164,1,4,5.25,8,62,4,55,1.297412688114188,0,48.5,77.75,6,89,6,39,1.3852290962591016,0
0.09140101088321968,0.5257826413338514,-0.08006677546461013,0.0711657104501153,-0.053727066723365455,0,0.04,10,31,2,97,0.5893557708860356,0,4,5.25,8,62,4,55,1.297412688114188,0,48.5,93.25,6,82,6,46,0.9640047043090971,0
0.23727492280907192,0.7442882349635058,-0.13224757001160567,0.22334489546932892,-0.041612560184456,0,0.05,9,21,3,107,-0.7552795497535082,0,4,6.25,8,55,4,62,0.9056022734857706,0,48.5,79,6,87,6,41,1.2603381686059596,0
0.07048015992530043,0.37939875784005045,-0.19834443493727627,1.7565758318989155e-4,-0.19828352472565863,0,0.0325,9,39,3,89,0.39528470752104744,0,4,5.25,7,62,5,55,0.7477822970385866,0,42,77.25,6,79,6,49,0.7947858151594112,0
0.1312042764390493,0.4756125712469835,-0.058761228551933636,0.12761796257816985,-0.009627665694152111,0,0.04,10,31,2,97,0.5893557708860356,0,4,6,8,55,4,62,0.9056022734857706,0,60,80.25,6,103,6,25,2.430637350239887,1
-0.02131150765642885,0.19962143282270947,-0.31630039981552804,-0.14793545662731963,-0.36194106431367673,0,0.04,11,31,1,97,1.253058565170405,0,4,5,10,62,2,55,2.3968166449659427,1,42,72.25,6,82,6,46,0.9640047043090971,0
0.2843842493758732,0.6865794214494833,-0.13018993647528956,0.2805232495555379,-0.011807178594439735,0.0075,0.05,6,76,6,52,0.6303909636337743,0,4,6.25,8,55,4,62,0.9056022734857706,0,53,74,6,97,6,31,1.936618701978069,1
0.29937342695203073,0.47561359273429143,-0.33160545056553564,0.23118472547947536,-0.24057406448061047,0.0075,0.05,6,76,6,52,0.6303909636337743,0,4,5.25,8,62,4,55,1.297412688114188,0,42,73,7,82,5,46,1.5294288968986727,0
0.22078408372279637,0.4756131746243995,-0.053023356486624575,0.236782047434546,0.04502405022958915,0,0.055,9,21,3,107,-0.7552795497535082,0,4,5.25,7,62,5,55,0.7477822970385866,0,51.5,90.5,6,89,6,39,1.3852290962591016,0
0.2843829389653088,0.5775390412373878,-0.021063450587368963,0.32785626741111557,0.12387301764149737,0,0.055,9,21,3,107,-0.7552795497535082,0,4,6.25,7,55,5,62,0.3533233944038707,0,60,90.5,6,100,6,28,2.1724999026142777,1
0.3961512270779684,0.5775390412373878,-0.14468807178908155,0.40968538212282385,0.04400278984006222,0.0075,0.08499999999999999,6,66,6,62,0.10355210869743926,0,4,6.25,7,55,5,62,0.3533233944038707,0,51.5,80.25,6,92,6,36,1.5811388300841898,0
0.3961512270779684,0.8044441279173475,-0.07032941443950845,0.4412233435586629,0.1393387986319791,0.0075,0.08499999999999999,6,66,6,62,0.10355210869743926,0,4,7,10,41,2,76,1.286019499792345,0,60,80.25,6,103,6,25,2.430637350239887,1
0.3424687791690081,0.8044453179315382,0.07508841832817459,0.44878397630585326,0.2926342611470231,0,0.08499999999999999,9,11,3,117,-1.8114220932736798,0,4.75,7,9,65,3,52,2.0190599749032985,1,67.5,93.25,6,113,6,15,3.5510975933712468,1
0.23727417893582894,0.5775415053712893,-0.19613809208738425,0.1996380856344833,-0.11722160081278295,0,0.055,9,21,3,107,-0.7552795497535082,0,4,6,9,55,3,62,1.4595756502971975,0,48.5,74,6,91,6,37,1.5145838627001682,0
0.22078478712998822,0.4756131746243995,-0.1260861084481762,0.2060852670152213,-0.0433421643242429,0,0.05,9,21,3,107,-0.7552795497535082,0,4,5.25,7,62,5,55,0.7477822970385866,0,42,90.5,6,74,6,54,0.5229125165837972,0
-0.16016843110101633,0.24328843925577584,-0.17651262920995936,-0.2674406908493379,-0.2559362483943789,0,0.0225,9,47,3,81,0.8100925873009827,0,4,5,8,62,4,55,1.297412688114188,0,42,77.25,6,79,6,49,0.7947858151594112,0
