,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
172,NA,150,Wet Beaver,3/14/2022 0:00,Available,17,Riffle,NA,NA,NA,Cobble,Yes,-111.667327,34.672458,Not safe to measure,NA,-111.6673454,34.6724741,NA,0.4,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,111,Wet Beaver,3/14/2022 0:00,Available,10.72,Pool,NA,54,0.47,Cobble,No,-111.669202,34.673372,NA,NA,-111.6692481,34.6733999,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,152,Wet Beaver,3/14/2022 0:00,Available,12.3,Pool,NA,45,0.24,Cobble,Yes,-111.667212,34.672463,NA,NA,-111.667185,34.6724997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,NA,153,Wet Beaver,3/14/2022 0:00,Available,9.6,Pool,NA,71,0.1,Cobble,Yes,-111.667202,34.672528,NA,NA,-111.6671274,34.6724878,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,154,Wet Beaver,3/14/2022 0:00,Available,10.6,Pool,NA,41,0.01,Cobble,Yes,-111.667153,34.672513,NA,NA,-111.6670787,34.6725611,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
177,NA,115,Wet Beaver,3/14/2022 0:00,Available,8.06,Pool,NA,80,0.01,Pebble,No,-111.668993,34.673283,NA,NA,-111.6690309,34.6733773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,NA,117,Wet Beaver,3/14/2022 0:00,Available,11.75,Pool,NA,65,0.03,Cobble,No,-111.668957,34.673262,NA,NA,-111.6689514,34.6733309,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,158,Wet Beaver,3/14/2022 0:00,Available,7.34,Riffle,NA,24,0.65,Boulder,No,-111.666898,34.672635,NA,NA,-111.6668828,34.6726619,NA,0.4,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,119,Wet Beaver,3/14/2022 0:00,Available,6.94,Riffle,NA,44,0.68,Cobble,Yes,-111.668837,34.6732,NA,NA,-111.6688401,34.6732384,NA,0.2,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,NA,120,Wet Beaver,3/14/2022 0:00,Available,7.79,Riffle,NA,28,0.29,Cobble,No,-111.668803,34.673183,NA,NA,-111.6688087,34.6731906,NA,0.15,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,121,Wet Beaver,3/14/2022 0:00,Available,12,Riffle,NA,38,0.41,Boulder,No,-111.668692,34.673097,NA,NA,-111.6687322,34.6731561,NA,0.4,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,162,Wet Beaver,3/14/2022 0:00,Available,7.63,Riffle,NA,44,0.94,Cobble,No,-111.666853,34.672757,NA,NA,-111.666755,34.6727525,NA,0.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,NA,123,Wet Beaver,3/14/2022 0:00,Available,12.74,Pool,NA,31,0.04,Cobble,No,-111.66856,34.67302,NA,NA,-111.6685839,34.6730562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,NA,125,Wet Beaver,3/14/2022 0:00,Available,10.16,Pool,NA,73,0.09,Cobble,No,-111.673503,34.672997,NA,NA,-111.6685831,34.6730591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,NA,126,Wet Beaver,3/14/2022 0:00,Available,10.03,Pool,NA,33,0.08,Gravel,Yes,-111.668467,34.672967,NA,NA,-111.6685374,34.6730187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,127,Wet Beaver,3/14/2022 0:00,Available,15.64,Pool,NA,66,0.06,Silt,Yes,-111.66838,34.672903,NA,NA,-111.6684165,34.6729681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,128,Wet Beaver,3/14/2022 0:00,Available,11.42,Pool,NA,49,0,Gravel,Yes,-111.668347,34.672867,NA,NA,-111.6683578,34.6729472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,169,Wet Beaver,3/14/2022 0:00,Available,5.89,Riffle,NA,26,0.35,Cobble,No,-111.666487,34.672937,NA,NA,-111.6664566,34.6729708,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,130,Wet Beaver,3/14/2022 0:00,Available,8.29,Pool,NA,58,0.01,Pebble,Yes,-111.668218,34.672802,NA,NA,-111.6682452,34.6728982,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,NA,138,Wet Beaver,3/14/2022 0:00,Available,10.47,Pool,NA,52,0.2,Pebble,Yes,-111.666667,34.666667,NA,NA,-111.667955,34.6726265,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,139,Wet Beaver,3/14/2022 0:00,Available,13.5,Pool,NA,106,0.06,Gravel,Yes,-111.667895,34.672502,NA,NA,-111.6678949,34.6726471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,NA,140,Wet Beaver,3/14/2022 0:00,Available,13,Pool,NA,>150,NA,Gravel,No,-111.667837,34.672517,NA,NA,-111.6679054,34.6726166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,145,Wet Beaver,3/14/2022 0:00,Available,9.09,Pool,NA,>150,NA,Bedrock,Yes,-111.667663,34.67237,NA,NA,-111.6676147,34.6724118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,149,Wet Beaver,3/14/2022 0:00,Available,5.82,Riffle,NA,NA,NA,Boulder,No,-111.667373,34.672398,Not safe to measure,NA,-111.6674102,34.672455,NA,0.7,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,151,Wet Beaver,3/14/2022 0:00,Available,18.8,Riffle,NA,30,0.54,Cobble,Yes,-111.667262,34.6725,NA,NA,-111.6672566,34.6724586,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,155,Wet Beaver,3/14/2022 0:00,Available,9.23,Pool,NA,54,0.1,Pebble,Yes,-111.66704,34.672553,NA,NA,-111.6670251,34.6725729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,157,Wet Beaver,3/14/2022 0:00,Available,7.53,Pool,NA,23,0.03,Pebble,Yes,-111.666998,34.672632,NA,NA,-111.6669576,34.6726484,NA,0.2,NA,NA,NA,0.1,NA,0.1,NA,NA,NA,NA,NA,NA,NA
223,NA,161,Wet Beaver,3/14/2022 0:00,Available,10.45,Riffle,NA,21,0.66,Boulder,Yes,-111.666853,34.672757,NA,NA,-111.6668612,34.6727008,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,163,Wet Beaver,3/14/2022 0:00,Available,7.94,Riffle,NA,74,1.34,Boulder,Yes,-111.666853,34.672757,NA,NA,-111.6666817,34.6728365,NA,0.7,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,165,Wet Beaver,3/14/2022 0:00,Available,14.32,Riffle,NA,24,1.43,Cobble,Yes,-111.666622,34.672822,NA,NA,-111.666622,34.6728313,NA,0.2,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,167,Wet Beaver,3/14/2022 0:00,Available,24.92,Riffle,NA,29,0.23,Gravel,No,-111.666557,34.672892,NA,NA,-111.666526,34.6728318,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,168,Wet Beaver,3/14/2022 0:00,Available,5.86,Run,NA,35,0.28,Gravel,Yes,-111.666527,34.672908,NA,NA,-111.6664831,34.6729021,NA,0.1,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,170,Wet Beaver,3/14/2022 0:00,Available,8.06,Pool,NA,25,0.06,Cobble,No,-111.666477,34.672973,NA,NA,-111.6664024,34.6729907,NA,0.3,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
35,157,232,West Clear,3/16/2022 0:00,Occupied,14.56,Riffle,NA,38,0.43,Boulder,Yes,-111.685193,34.538287,NA,NA,-111.6851482,34.5383108,NA,0.4,NA,NA,NA,NA,NA,NA,Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
36,158,301,West Clear,3/16/2022 0:00,Occupied,19.94,Pool,NA,60,0.17,Pebble,Yes,-111.680723,34.66986,NA,NA,-111.6806738,34.5366161,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,247,278,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
39,160,260,West Clear,3/16/2022 0:00,Occupied,9.94,Riffle,NA,>150,NA,NA,NA,-111.683912,34.538592,NA,NA,-111.6839071,34.5386158,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,77,186,Backpack Shocker,11/28/2022,Camp Crossing,NA
40,161,306,West Clear,3/16/2022 0:00,Occupied,17.6,Pool,NA,>150,NA,NA,NA,-111.680293,34.536272,NA,NA,-111.6802642,34.5362465,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,224,263,Backpack Shocker,11/28/2022,Camp Crossing,NA
41,162,241,West Clear,3/16/2022 0:00,Available,8.44,Riffle,NA,70,0.29,Cobble,Yes,-111.685053,34.538308,NA,NA,-111.685036,34.5383231,NA,NA,NA,NA,NA,0.5,NA,NA,Black Bass,89,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
42,163,235,West Clear,3/16/2022 0:00,Occupied,12.63,Riffle,NA,34,0.27,Boulder,Yes,-111.685143,34.538292,NA,NA,-111.6851222,34.5383011,NA,0.5,NA,NA,NA,0.2,NA,NA,Desert Sucker,239,277,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
43,163,237,West Clear,3/16/2022 0:00,Occupied,13.61,Riffle,NA,50,0.11,Boulder,Yes,-111.685097,34.538298,NA,NA,-111.6851502,34.5383169,NA,0.2,NA,NA,NA,NA,NA,NA,Desert Sucker,239,277,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
44,164,308,West Clear,3/16/2022 0:00,Occupied,17.6,Pool,NA,>150,NA,NA,NA,-111.68029,34.536252,NA,NA,-111.6802564,34.5362789,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,285,288,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,All DS in Honey Hole
45,165,324,West Clear,3/16/2022 0:00,Occupied,16.92,Pool,NA,104,0.06,Silt,Yes,-111.67849,34.535788,NA,NA,-111.6785613,34.535844,NA,NA,NA,NA,NA,0.1,NA,NA,Black Bass,79,193,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
46,166,203,West Clear,3/16/2022 0:00,Occupied,16,Pool,NA,>150,NA,Gravel,No,-111.687043,34.538078,NA,NA,-111.6869714,34.5381098,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,79,188,Backpack Shocker,11/28/2022,4th Pool to Honey Hole,NA
47,168,233,West Clear,3/16/2022 0:00,Occupied,12.72,Riffle,NA,37,0.97,Boulder,Yes,-111.685193,34.538287,NA,NA,-111.6851697,34.5382224,NA,0.5,NA,NA,NA,NA,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
48,169,310,West Clear,3/16/2022 0:00,Occupied,17.6,Pool,NA,>150,NA,NA,NA,-111.68029,34.536252,NA,NA,-111.680269,34.5362551,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,224,256,Backpack Shocker,11/28/2022,Camp Crossing,NA
49,171,238,West Clear,3/16/2022 0:00,Occupied,13.61,Riffle,NA,52,0.24,Boulder,Yes,-111.685092,34.538298,NA,NA,-111.6851436,34.5383287,NA,0.2,NA,NA,NA,NA,NA,NA,Black Bass,95,202,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
50,172,234,West Clear,3/16/2022 0:00,Occupied,12.75,Riffle,NA,30,0.28,Boulder,Yes,-111.685193,34.538287,NA,NA,-111.6851339,34.5382782,NA,0.7,NA,NA,NA,NA,NA,NA,Black Bass,82,190,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
51,173,245,West Clear,3/16/2022 0:00,Occupied,12.3,Riffle,NA,33,0.36,Boulder,No,-111.676848,34.535688,NA,NA,-111.6848143,34.5384231,NA,0.3,NA,NA,NA,NA,NA,NA,Black Bass,75,186,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
52,175,240,West Clear,3/16/2022 0:00,Occupied,8.45,Riffle,NA,65,0,Pebble,Yes,-111.685047,34.538312,NA,NA,-111.6850411,34.5382812,NA,NA,NA,NA,NA,0.4,NA,NA,Black Bass,73,187,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
53,176,309,West Clear,3/16/2022 0:00,Occupied,17.6,Pool,NA,>150,NA,NA,NA,-111.68029,34.536252,NA,NA,-111.680257,34.5362634,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,186,252,Backpack Shocker,11/28/2022,Honey Hole,NA
54,178,206,West Clear,3/16/2022 0:00,Occupied,9.42,Riffle,NA,57,0.3,Boulder,Yes,-111.686857,34.704655,NA,NA,-111.6867775,34.538016,NA,0.7,NA,NA,NA,NA,NA,NA,Black Bass,117,221,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
55,181,255,West Clear,3/16/2022 0:00,Occupied,15.6,Pool,NA,60,0.14,Gravel,No,-111.684172,34.538523,NA,NA,-111.6842739,34.5385497,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,81,196,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
56,182,265,West Clear,3/16/2022 0:00,Occupied,7.74,Riffle,NA,62,0,Gravel,Yes,-111.68374,34.538653,NA,NA,-111.6837362,34.5386898,NA,NA,NA,NA,NA,0.1,NA,NA,Black Bass,100,200,Backpack Shocker,11/28/2022,Start to 2nd Pool,internal clear liquid
57,184,262,West Clear,3/16/2022 0:00,Occupied,9.98,Riffle,NA,>150,NA,NA,NA,-111.683852,34.538597,NA,NA,-111.6839176,34.5385451,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,98,204,Backpack Shocker,11/28/2022,Start to 2nd Pool,NA
58,185,254,West Clear,3/16/2022 0:00,Occupied,15.6,Pool,NA,50,0,Gravel,No,-111.68417,34.538407,NA,NA,-111.6842785,34.5385183,NA,0.2,NA,NA,NA,NA,NA,NA,Black Bass,88,201,Backpack Shocker,11/28/2022,Camp Crossing,NA
59,189,318,West Clear,3/16/2022 0:00,Occupied,10.14,Riffle,NA,59,0.7,Boulder,Yes,-111.679187,34.535962,NA,NA,-111.6793416,34.53605,NA,0.2,NA,NA,0.5,NA,NA,NA,Desert Sucker,160,240,Backpack Shocker,11/28/2022,Honey Hole,NA
60,197,307,West Clear,3/16/2022 0:00,Occupied,17.6,Pool,NA,>150,NA,NA,NA,-111.68029,34.536252,NA,NA,-111.6802749,34.5362678,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,205,256,Backpack Shocker,11/28/2022,Honey Hole,NA
61,199,268,West Clear,3/16/2022 0:00,Occupied,8.22,Riffle,NA,<150,NA,NA,NA,-111.68373,34.538662,Not safe to measure,NA,-111.6836905,34.5386338,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,76,184,Backpack Shocker,11/28/2022,Camp Crossing,NA
62,200,319,West Clear,3/16/2022 0:00,Occupied,10.81,Riffle,NA,60,1.18,Boulder,Yes,-111.67917,34.535938,NA,NA,-111.6791763,34.53603,NA,0.3,NA,NA,0.6,NA,NA,NA,Desert Sucker,262,277,Backpack Shocker,11/28/2022,Honey Hole,NA
63,218,218,West Clear,3/16/2022 0:00,Occupied,11.52,Riffle,NA,59,0.35,Boulder,Yes,-111.686042,34.538222,NAmed bruno!,NA,-111.6861386,34.5381667,NA,0.65,NA,NA,NA,NA,NA,NA,Black Bass,87,194,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
147,NA,204,West Clear,3/16/2022 0:00,Available,16.04,Pool,NA,64,0,Gravel,No,-111.687038,34.538048,NA,NA,-111.6869235,34.5380756,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,NA,177,West Clear,3/16/2022 0:00,Available,8.5,Pool,NA,45,0.02,Pebble,No,-111.68868,34.538475,NA,NA,-111.6887098,34.5384918,NA,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,NA,181,West Clear,3/16/2022 0:00,Available,7.18,Riffle,NA,43,0.59,Pebble,Yes,-111.688163,34.538282,NA,NA,-111.6881478,34.5383301,NA,NA,NA,NA,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,186,West Clear,3/16/2022 0:00,Available,7.5,Run,NA,33,0.11,Gravel,Yes,-111.688692,34.538172,NA,NA,-111.6884629,34.5381594,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,NA,196,West Clear,3/16/2022 0:00,Available,20.41,Pool,NA,108,0,Silt,Yes,-111.687533,34.538252,NA,NA,-111.6875149,34.538256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,NA,244,West Clear,3/16/2022 0:00,Available,10.98,Riffle,NA,48,0.64,Pebble,Yes,-111.684773,34.538352,NA,NA,-111.6848942,34.5384469,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,211,West Clear,3/16/2022 0:00,Available,21.02,Riffle,NA,38,0.49,Boulder,Yes,-111.686737,34.538092,NA,NA,-111.6865431,34.5380629,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,212,West Clear,3/16/2022 0:00,Available,19.3,Riffle,NA,39,0.11,Boulder,No,-111.686377,34.538067,NA,NA,-111.6864386,34.5380458,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,213,West Clear,3/16/2022 0:00,Available,15.76,Riffle,NA,49,0.41,Boulder,No,-111.686308,34.538032,NA,NA,-111.6863889,34.5380729,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,NA,214,West Clear,3/16/2022 0:00,Available,12.48,Riffle,NA,41,0.58,Boulder,Yes,-111.686323,34.538147,NA,NA,-111.6863337,34.5380789,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,175,West Clear,3/16/2022 0:00,Available,14.3,Riffle,NA,42,0.5,Pebble,No,-111.688985,34.538462,NA,NA,-111.6889468,34.5384548,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,176,West Clear,3/16/2022 0:00,Available,10.69,Pool,NA,73,0.14,Pebble,No,-111.688893,34.538417,NA,NA,-111.6888361,34.5384694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,217,West Clear,3/16/2022 0:00,Available,9.73,Riffle,NA,44,0.23,Cobble,Yes,-111.686085,34.538202,NA,NA,-111.68615,34.5381627,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,NA,221,West Clear,3/16/2022 0:00,Available,14.07,Riffle,NA,56,0.55,Cobble,No,-111.685755,34.538197,NA,NA,-111.6859755,34.5381315,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,NA,182,West Clear,3/16/2022 0:00,Available,26.7,Pool,NA,107,0.02,Gravel,No,-111.688048,34.538207,NA,NA,-111.6880453,34.5382087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,NA,183,West Clear,3/16/2022 0:00,Available,9.54,Pool,NA,36,0.03,Cobble,Yes,-111.688218,34.538193,NA,NA,-111.6881483,34.5381889,NA,0.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,184,West Clear,3/16/2022 0:00,Available,12.6,Riffle,NA,26,0.27,Pebble,Yes,-111.688343,34.538083,NA,NA,-111.6882356,34.5381458,NA,0.2,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,226,West Clear,3/16/2022 0:00,Available,14.21,Run,NA,31,0.02,Sand,Yes,-111.685603,34.538208,NA,NA,-111.6856501,34.5382926,NA,0.05,NA,NA,NA,0.05,NA,0.3,NA,NA,NA,NA,NA,NA,NA
209,NA,187,West Clear,3/16/2022 0:00,Available,7.14,Run,NA,59,0.18,Silt,Yes,-111.688873,34.538232,NA,NA,-111.6887916,34.5382423,NA,NA,NA,NA,NA,0.2,NA,0.1,NA,NA,NA,NA,NA,NA,NA
210,NA,188,West Clear,3/16/2022 0:00,Available,7.1,Riffle,NA,19,0.04,Cobble,No,-111.689028,34.5382,NA,NA,-111.6889538,34.5382092,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,190,West Clear,3/16/2022 0:00,Available,4.5,Riffle,NA,26,0.14,Boulder,Yes,-111.689338,34.538267,NA,NA,-111.6893094,34.5382549,NA,0.4,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,192,West Clear,3/16/2022 0:00,Available,15.74,Pool,NA,>150,NA,NA,Yes,-111.687953,34.538077,NA,NA,-111.6878888,34.5381241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,193,West Clear,3/16/2022 0:00,Available,19.95,Pool,NA,>150,NA,NA,No,-111.687718,34.53829,NA,NA,-111.6877045,34.5382776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,194,West Clear,3/16/2022 0:00,Available,20.21,Pool,NA,>150,NA,NA,No,-111.687668,34.538327,NA,NA,-111.6876383,34.5382899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,236,West Clear,3/16/2022 0:00,Available,13.54,Riffle,NA,62,0.86,Boulder,Yes,-111.685135,34.538305,NA,NA,-111.6851017,34.5383272,NA,0.4,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,NA,198,West Clear,3/16/2022 0:00,Available,19.1,Pool,NA,>150,NA,NA,No,-111.687347,34.538218,NA,NA,-111.6873445,34.5382319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,199,West Clear,3/16/2022 0:00,Available,16.29,Pool,NA,>150,NA,NA,No,-111.687317,34.53819,NA,NA,-111.6872452,34.5381905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,200,West Clear,3/16/2022 0:00,Available,19.01,Pool,NA,64,0,Silt,Yes,-111.687265,34.538162,NA,NA,-111.6871605,34.5381707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,202,West Clear,3/16/2022 0:00,Available,17.1,Pool,NA,>150,NA,NA,No,-111.687078,34.538092,NA,NA,-111.6870316,34.5381058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,284,West Clear,3/16/2022 0:00,Available,12.46,Pool,NA,89,0.46,Boulder,Yes,-111.682567,34.538042,NA,NA,-111.6826485,34.5381566,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,246,West Clear,3/16/2022 0:00,Available,13.3,Riffle,NA,56,0.23,Boulder,No,-111.684682,34.538402,NA,NA,-111.6848038,34.5384163,NA,0.4,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,209,West Clear,3/16/2022 0:00,Occupied,14.08,Riffle,NA,62,0.49,Gravel,Yes,-111.686497,34.538032,NA,NA,-111.6866562,34.5380555,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,251,West Clear,3/16/2022 0:00,Available,10.9,Riffle,NA,65,0.47,Cobble,No,-111.68442,34.538497,NA,NA,-111.6844512,34.5385572,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,NA,252,West Clear,3/16/2022 0:00,Available,12.4,Riffle,NA,26,0.34,Silt,Yes,-111.684358,34.538532,NA,NA,-111.6844062,34.5385059,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA
235,NA,253,West Clear,3/16/2022 0:00,Available,15.6,Pool,NA,66,0.4,Boulder,No,-111.68411,34.538427,NA,NA,-111.6843948,34.5385047,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,294,West Clear,3/16/2022 0:00,Available,14.8,Riffle,NA,73,0.47,Cobble,Yes,-111.681333,34.53706,NA,NA,-111.6814453,34.5370785,NA,0.3,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,215,West Clear,3/16/2022 0:00,Available,10.58,Riffle,NA,50,0.64,Boulder,No,-111.686173,34.53813,NA,NA,-111.6862663,34.5380941,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,216,West Clear,3/16/2022 0:00,Available,9.54,Riffle,NA,46,0.4,Cobble,No,-111.686163,34.538087,NA,NA,-111.6862075,34.538115,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,257,West Clear,3/16/2022 0:00,Available,14.6,Pool,NA,53,0.12,Cobble,Yes,-111.684013,34.538365,NA,NA,-111.6841039,34.5386241,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,178,West Clear,3/16/2022 0:00,Available,9.48,Pool,NA,85,0.08,Cobble,Yes,-111.688507,34.538458,NA,NA,-111.6885247,34.5385559,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,NA,179,West Clear,3/16/2022 0:00,Available,7.29,Riffle,NA,37,0.21,Boulder,No,-111.688438,34.538412,NA,NA,-111.6883976,34.5384918,NA,0.3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,180,West Clear,3/16/2022 0:00,Available,7.03,Riffle,NA,45,0.45,Boulder,Yes,-111.688298,34.53838,NA,NA,-111.6882947,34.5383777,NA,0.3,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
