,Tag,ObjectID,Stream,Date,Site.Type,Stream.Width.m,Mesohabitat,Other...Mesohabitat,Depth.cm,Velocity.ms,Substrate,Canopy.Cover,Latitude,Longitude,Notes.x,Other...Mesohabitat.1,x,y,Data.Changes,Boulder,Terrestrial Vegetation,None,Surface Turbulence,Woody Debris,Absent,Aquatic Vegetation,Species,Weight,Length,Capture Method,Capture Date,Release,Notes.y
28,147,160,Wet Beaver,3/14/2022 0:00,Occupied,7.35,Riffle,NA,39,0.12,Cobble,No,-111.666885,34.672668,Pesto,NA,-111.6668903,34.6726696,NA,0.2,NA,NA,0.3,NA,NA,NA,Desert Sucker,88,198,Backpack Shocker,11/16/2022,NA,riffle
29,148,156,Wet Beaver,3/14/2022 0:00,Occupied,10.24,Pool,NA,65,0.1,Cobble,Yes,-111.666992,34.672613,NA,NA,-111.6670061,34.6725661,NA,NA,NA,NA,NA,NA,NA,NA,Desert Sucker,77,183,Backpack Shocker,11/16/2022,NA,pool
30,152,172,Wet Beaver,3/14/2022 0:00,Occupied,8.03,Pool,NA,53,0.22,Gravel,Yes,-111.666423,34.672983,NA,NA,-111.6664066,34.6730099,NA,0.1,NA,NA,NA,0.05,NA,NA,Black Bass,102,207,Backpack Shocker,11/15/2022,NA,NA
31,153,171,Wet Beaver,3/14/2022 0:00,Occupied,8.01,Pool,NA,55,0.18,Boulder,Yes,-111.666433,34.672993,NA,NA,-111.6664048,34.6729865,NA,0.1,NA,NA,NA,NA,NA,NA,Black Bass,112,208,Backpack Shocker,11/16/2022,NA,Pool
32,154,174,Wet Beaver,3/14/2022 0:00,Occupied,7.45,Pool,NA,60,0.37,Bedrock,Yes,-111.666447,34.673112,NAmed fly,NA,-111.6664286,34.6730245,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,75,181,Backpack Shocker,11/14/2022,NA,Pool
33,155,164,Wet Beaver,3/14/2022 0:00,Occupied,11.91,Riffle,NA,23,0.11,Cobble,Yes,-111.666703,34.672838,NA,NA,-111.6666783,34.6728495,NA,0.15,NA,NA,0.3,NA,NA,NA,Black Bass,143,231,Backpack Shocker,11/16/2022,NA,Pool
34,157,166,Wet Beaver,3/14/2022 0:00,Occupied,11.31,Pool,NA,>150,NA,Boulder,No,-111.666768,34.672943,NA,NA,-111.6666466,34.6728939,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,98,208,Backpack Shocker,11/28/2022,2nd Pool to Almost Crossing,NA
37,159,84,Wet Beaver,3/14/2022 0:00,Occupied,15.5,Pool,NA,>150,0,Sand,Yes,-111.670827,34.673997,NA,NA,-111.6707449,34.6740714,NA,NA,NA,NA,NA,NA,NA,NA,Black Bass,138,228,Backpack Shocker,11/22/2022,NA,pool
64,227,131,Wet Beaver,3/14/2022 0:00,Occupied,8.14,Pool,NA,69,0.16,Boulder,Yes,-111.668162,34.672772,NA,NA,-111.6682547,34.6727837,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,49,Wet Beaver,3/14/2022 0:00,Available,5.14,Riffle,NA,43,0.23,Cobble,Yes,-111.672252,34.674702,NA,NA,-111.6723058,34.6746854,Confirmed cobble and canopy cover with photo,0.3,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,56,Wet Beaver,3/14/2022 0:00,Available,NA,Pool,NA,>150,NA,NA,Yes,-111.672307,34.674422,NA,NA,-111.672232,34.6745002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,57,Wet Beaver,3/14/2022 0:00,Available,NA,Pool,NA,>150,NA,NA,Yes,-111.67229,34.674322,NA,NA,-111.6722008,34.6744781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,101,Wet Beaver,3/14/2022 0:00,Available,15.3,Riffle,NA,20,0.05,Cobble,"No,Yes",-111.669652,34.673687,NA,NA,-111.6696293,34.6737423,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,66,Wet Beaver,3/14/2022 0:00,Available,11.26,Run,NA,45,0.41,Boulder,No,-111.671973,34.674105,NA,NA,-111.6719014,34.6741706,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,67,Wet Beaver,3/14/2022 0:00,Available,9.89,Run,NA,47,0.25,Pebble,Yes,-111.671917,34.674088,NA,NA,-111.6718125,34.6741211,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,78,Wet Beaver,3/14/2022 0:00,Available,12,Riffle,NA,36,0.17,Cobble,Yes,-111.671183,34.674028,NA,NA,-111.6712446,34.6740073,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
