Velocity,Substrate,Depth,Velocity_full,Depth_full,Velocity_25,Velocity_75,Velocity_25_Suit_Used,Velocity_25_UnSuit_Avail,Velocity_25_UnSuit_Used,Velocity_25_Suit_Avail,t_stat_50_Velocity,p_50_Velocity,Substrate_25,Substrate_75,Substrate_25_Suit_Used,Substrate_25_UnSuit_Avail,Substrate_25_UnSuit_Used,Substrate_25_Suit_Avail,t_stat_50_Substrate,p_50_Substrate,Depth_25,Depth_75,Depth_25_Suit_Used,Depth_25_UnSuit_Avail,Depth_25_UnSuit_Used,Depth_25_Suit_Avail,t_stat_50_Depth,p_50_Depth,Velocity_5,Velocity_95,Velocity_5_Suit_Used,Velocity_5_UnSuit_Avail,Velocity_5_UnSuit_Used,Velocity_5_Suit_Avail,t_stat_90_Velocity,p_90_Velocity,Substrate_5,Substrate_95,Substrate_5_Suit_Used,Substrate_5_UnSuit_Avail,Substrate_5_UnSuit_Used,Substrate_5_Suit_Avail,t_stat_90_Substrate,p_90_Substrate,Depth_5,Depth_95,Depth_5_Suit_Used,Depth_5_UnSuit_Avail,Depth_5_UnSuit_Used,Depth_5_Suit_Avail,t_stat_90_Depth,p_90_Depth
-0.619318622857394,0.14664886760765738,0.4907222007247898,-0.6982978611600483,0.5286330454316556,0.05500000000000001,0.135,5,215,6,51,2.126860046866021,1,4.5,5,7,143,4,123,1.1328963105355445,0,33,43,5,181,6,85,0.9368234674252391,0,0,0.28500000000000003,10,64,1,202,1.148027325593923,0,4,5.5,10,94,1,172,1.7970760116728277,1,28.5,49,10,115,1,151,2.249190700636293,1
-1.071500269229206,-0.10024654751745499,0.33958266103994567,-1.1488987421917936,0.4004639618582254,0.035,0.11,5,212,6,54,1.9967619183762333,1,4,5,8,94,3,172,0.5495315189990356,0,29.5,42,6,158,5,108,0.9209088760103252,0,0,0.185,10,104,1,162,2.0101958245068743,1,3,5.5,10,55,1,211,0.9375884992036165,0,26,46,9,99,2,167,1.2854077025719837,0
-1.1256943737405398,0.034657459923086845,0.42845834551457435,-1.2178704406864138,0.4868637974913407,0.01,0.11499999999999999,4,195,6,71,0.9287275405489609,0,4.25,5,6,143,4,123,0.8561330949278162,0,31,42,5,171,5,95,0.922658496573191,0,0,0.18849999999999992,9,104,1,162,1.8606383955107995,1,3.45,5.549999999999999,8,94,2,172,0.999774410644947,0,28.450000000000003,46.29999999999999,8,128,2,138,1.7489090155856193,1
-0.4478714234671149,0.22890290097920596,0.5271779998091267,-0.5226289461602454,0.5562963262022126,0.07750000000000001,0.1425,4,222,6,44,1.9213667474162164,1,5,5,7,143,3,123,1.4776878313504163,0,32.5,43.5,4,181,6,85,0.5343326219971518,0,0.018,0.29649999999999976,8,110,2,156,1.349991776745569,0,4,5.549999999999999,9,94,1,172,1.6556652328479051,1,29.45,49,9,119,1,147,2.175368180480668,1
-0.5686085809984601,0.034657459923086845,0.3868414687578611,-0.6324024415509479,0.42458585924713693,0.0175,0.1425,4,178,6,88,0.45554231086967234,0,4.25,5,6,143,4,123,0.8561330949278162,0,29.75,42,5,158,5,108,0.5933633356581104,0,0,0.31899999999999984,9,52,1,214,0.7525876253301715,0,3.45,5.549999999999999,8,94,2,172,0.999774410644947,0,27.45,46.29999999999999,8,116,2,150,1.4815073803493066,0
-0.46856080912920656,0.034657459923086845,0.49445202611099753,-0.5407667169649581,0.5252758915167527,0.0475,0.165,4,185,6,81,0.6421275344180986,0,4.25,5,6,143,4,123,0.8561330949278162,0,32.5,42,5,187,5,79,1.3696740421501985,0,0,0.31899999999999984,9,52,1,214,0.7525876253301715,0,3.45,5.549999999999999,8,94,2,172,0.999774410644947,0,28.450000000000003,49,9,115,1,151,2.0901478214419074,1
-0.5804767050919624,0.12890013298038328,0.5108373917734763,-0.6600356070856578,0.5464802494382547,0.0475,0.1425,4,196,6,70,0.9590109407213212,0,4.25,5,6,143,4,123,0.8561330949278162,0,32.5,43.5,4,181,6,85,0.5343326219971518,0,0,0.29649999999999976,9,61,1,205,0.9619875110383,0,4,5.549999999999999,9,94,1,172,1.6556652328479051,1,28.450000000000003,49,9,115,1,151,2.0901478214419074,1
-0.43589182310595415,0.14664869769846423,0.4382532008288547,-0.4996685677434825,0.46820249596152225,0.07500000000000001,0.16,5,211,6,55,1.9549481264048274,1,5,5,8,143,3,123,1.7242186980306062,1,31,42,6,171,5,95,1.2715613000308132,0,0,0.31,10,52,1,214,0.8640964206349384,0,3.5,5.5,9,94,2,172,1.1717407582190489,0,28,49,10,103,1,163,1.9887587338032189,1
-0.6422805860957677,-0.022421506662082907,0.3701144276074804,-0.7069858855944685,0.41186060941750435,0.07,0.12,7,228,4,38,4.348301682441161,1,4,5,9,94,2,172,1.1717407582190489,0,30.5,42.5,5,171,6,95,0.6591146283692985,0,0,0.275,10,71,1,195,1.304267804398851,0,3.5,5.5,9,94,2,172,1.1717407582190489,0,26,46.5,9,99,2,167,1.2854077025719837,0
-0.7795822899053387,-0.0540644701228303,0.41184543518824157,-0.8554469320694269,0.4588744968573771,0.07,0.1425,5,215,5,51,2.3797000579862755,1,4.25,5,6,143,4,123,0.8561330949278162,0,30,42,6,158,4,108,1.2230761328155944,0,0,0.19749999999999995,9,101,1,165,1.7989204060600177,1,3,5.549999999999999,9,55,1,211,0.8241888005708565,0,26.25,49,9,97,1,169,1.7169725140239798,1
